"region","scenario","crop","year","Ag_prod"
"China","Reference","Corn","1990",89.85167096105
"China","Reference","Corn","2005",138.04135083899
"China","Reference","Corn","2010",181.31187996599
"China","Reference","Corn","2015",233.148605277
"China","Reference","Corn","2020",243.085142225194
"China","Reference","Corn","2025",250.889885821514
"China","Reference","Corn","2030",254.93054655602
"China","Reference","Corn","2035",255.503589063726
"China","Reference","Corn","2040",254.65593174484
"China","Reference","Corn","2045",252.73654720093
"China","Reference","Corn","2050",249.590525558088
"China","Reference","Corn","2055",245.574245286554
"China","Reference","Corn","2060",241.158229960233
"China","Reference","Corn","2065",236.824918496387
"China","Reference","Corn","2070",232.386885997829
"China","Reference","Corn","2075",228.584796419962
"China","Reference","Corn","2080",225.611779148307
"China","Reference","Corn","2085",223.220903494363
"China","Reference","Corn","2090",221.243755547809
"China","Reference","Corn","2095",219.572742710336
"China","Reference","Corn","2100",218.747617975991
"China","Reference","FiberCrop","1990",14.666510145006
"China","Reference","FiberCrop","2005",19.69408266479
"China","Reference","FiberCrop","2010",20.37869064959
"China","Reference","FiberCrop","2015",18.33952386159
"China","Reference","FiberCrop","2020",18.533720614182
"China","Reference","FiberCrop","2025",19.073990252716
"China","Reference","FiberCrop","2030",19.126826751046
"China","Reference","FiberCrop","2035",19.46624702461
"China","Reference","FiberCrop","2040",19.591196064065
"China","Reference","FiberCrop","2045",19.615088310268
"China","Reference","FiberCrop","2050",19.534638974693
"China","Reference","FiberCrop","2055",19.27771631198
"China","Reference","FiberCrop","2060",18.924505812254
"China","Reference","FiberCrop","2065",18.475399098349
"China","Reference","FiberCrop","2070",17.9668102345212
"China","Reference","FiberCrop","2075",17.4169597521296
"China","Reference","FiberCrop","2080",16.8427108831123
"China","Reference","FiberCrop","2085",16.2646545511682
"China","Reference","FiberCrop","2090",15.6934500108153
"China","Reference","FiberCrop","2095",15.152787778494
"China","Reference","FiberCrop","2100",14.6545575057982
"China","Reference","FodderGrass","1990",41.9467630822
"China","Reference","FodderGrass","2005",55.89993039
"China","Reference","FodderGrass","2010",58.89997768
"China","Reference","FodderGrass","2015",58.99992718
"China","Reference","FodderGrass","2020",66.1124733533
"China","Reference","FodderGrass","2025",75.4919384013
"China","Reference","FodderGrass","2030",80.9279685007
"China","Reference","FodderGrass","2035",84.7977705473
"China","Reference","FodderGrass","2040",87.027716671
"China","Reference","FodderGrass","2045",88.4177447349
"China","Reference","FodderGrass","2050",88.8789841474
"China","Reference","FodderGrass","2055",88.7553798065
"China","Reference","FodderGrass","2060",88.4967025666
"China","Reference","FodderGrass","2065",87.634959811
"China","Reference","FodderGrass","2070",86.20676483583
"China","Reference","FodderGrass","2075",84.50829112222
"China","Reference","FodderGrass","2080",82.66185735722
"China","Reference","FodderGrass","2085",80.88989322589
"China","Reference","FodderGrass","2090",79.09372592975
"China","Reference","FodderGrass","2095",77.34110955127
"China","Reference","FodderGrass","2100",75.67854995416
"China","Reference","MiscCrop","1990",166.39178288065
"China","Reference","MiscCrop","2005",549.54938618997
"China","Reference","MiscCrop","2010",680.56161168998
"China","Reference","MiscCrop","2015",772.05405089999
"China","Reference","MiscCrop","2020",858.46102947868
"China","Reference","MiscCrop","2025",944.62025564809
"China","Reference","MiscCrop","2030",1000.35314129379
"China","Reference","MiscCrop","2035",1032.05928118997
"China","Reference","MiscCrop","2040",1047.80893929126
"China","Reference","MiscCrop","2045",1050.91562672786
"China","Reference","MiscCrop","2050",1041.84193875273
"China","Reference","MiscCrop","2055",1023.69528782455
"China","Reference","MiscCrop","2060",999.78651463285
"China","Reference","MiscCrop","2065",971.726546078409
"China","Reference","MiscCrop","2070",941.38286925551
"China","Reference","MiscCrop","2075",909.00029861072
"China","Reference","MiscCrop","2080",875.44111117707
"China","Reference","MiscCrop","2085",841.23317776417
"China","Reference","MiscCrop","2090",807.95022026775
"China","Reference","MiscCrop","2095",776.65889153205
"China","Reference","MiscCrop","2100",747.6909754686
"China","Reference","OilCrop","1990",26.064885499039
"China","Reference","OilCrop","2005",44.355901349999
"China","Reference","OilCrop","2010",46.976863919998
"China","Reference","OilCrop","2015",46.857820919998
"China","Reference","OilCrop","2020",49.695556132889
"China","Reference","OilCrop","2025",54.168822368621
"China","Reference","OilCrop","2030",55.80526297471
"China","Reference","OilCrop","2035",57.595184313605
"China","Reference","OilCrop","2040",60.157719348248
"China","Reference","OilCrop","2045",63.33357969257
"China","Reference","OilCrop","2050",66.527227673439
"China","Reference","OilCrop","2055",69.213434438661
"China","Reference","OilCrop","2060",71.637100649328
"China","Reference","OilCrop","2065",74.061418615231
"China","Reference","OilCrop","2070",76.391638769447
"China","Reference","OilCrop","2075",79.378603923052
"China","Reference","OilCrop","2080",82.773970831671
"China","Reference","OilCrop","2085",86.117650098769
"China","Reference","OilCrop","2090",89.001976751428
"China","Reference","OilCrop","2095",91.297086857421
"China","Reference","OilCrop","2100",93.2210762175151
"China","Reference","OtherGrain","1990",17.241387779463
"China","Reference","OtherGrain","2005",9.973333254999
"China","Reference","OtherGrain","2010",7.991728523997
"China","Reference","OtherGrain","2015",9.795186232998
"China","Reference","OtherGrain","2020",10.064324943619
"China","Reference","OtherGrain","2025",10.540418784439
"China","Reference","OtherGrain","2030",10.771552334393
"China","Reference","OtherGrain","2035",10.730598739219
"China","Reference","OtherGrain","2040",10.702550605849
"China","Reference","OtherGrain","2045",10.676696142329
"China","Reference","OtherGrain","2050",10.650868847201
"China","Reference","OtherGrain","2055",10.710531507463
"China","Reference","OtherGrain","2060",10.793394352358
"China","Reference","OtherGrain","2065",10.885652359091
"China","Reference","OtherGrain","2070",11.003544781715
"China","Reference","OtherGrain","2075",11.109921727669
"China","Reference","OtherGrain","2080",11.214408560932
"China","Reference","OtherGrain","2085",11.321343066643
"China","Reference","OtherGrain","2090",11.405201722069
"China","Reference","OtherGrain","2095",11.463507434454
"China","Reference","OtherGrain","2100",11.507025692856
"China","Reference","PalmFruit","1990",0.67089001195
"China","Reference","PalmFruit","2005",0.94080863229
"China","Reference","PalmFruit","2010",1.016148391
"China","Reference","PalmFruit","2015",0.94487019899
"China","Reference","PalmFruit","2020",1.01839198227
"China","Reference","PalmFruit","2025",1.09987659188
"China","Reference","PalmFruit","2030",1.14719778907
"China","Reference","PalmFruit","2035",1.15719165117
"China","Reference","PalmFruit","2040",1.18149450181
"China","Reference","PalmFruit","2045",1.22935679932
"China","Reference","PalmFruit","2050",1.27631394748
"China","Reference","PalmFruit","2055",1.36071181518
"China","Reference","PalmFruit","2060",1.431889148
"China","Reference","PalmFruit","2065",1.5093935909
"China","Reference","PalmFruit","2070",1.5919163854
"China","Reference","PalmFruit","2075",1.72449660217
"China","Reference","PalmFruit","2080",1.91630494796
"China","Reference","PalmFruit","2085",2.13660960271
"China","Reference","PalmFruit","2090",2.345609852
"China","Reference","PalmFruit","2095",2.5451426179
"China","Reference","PalmFruit","2100",2.7717704965
"China","Reference","Pasture","1990",125.046253453
"China","Reference","Pasture","2005",252.84273609
"China","Reference","Pasture","2010",280.658407
"China","Reference","Pasture","2015",277.6320111
"China","Reference","Pasture","2020",300.61949232
"China","Reference","Pasture","2025",322.61112523
"China","Reference","Pasture","2030",338.05817212
"China","Reference","Pasture","2035",339.5412625008
"China","Reference","Pasture","2040",343.00918927873
"China","Reference","Pasture","2045",343.59375176974
"China","Reference","Pasture","2050",341.840257621123
"China","Reference","Pasture","2055",337.629545134887
"China","Reference","Pasture","2060",333.54720846334
"China","Reference","Pasture","2065",328.455411496897
"China","Reference","Pasture","2070",321.912281814625
"China","Reference","Pasture","2075",315.002356408777
"China","Reference","Pasture","2080",308.058616760518
"China","Reference","Pasture","2085",301.458727301758
"China","Reference","Pasture","2090",294.831309952829
"China","Reference","Pasture","2095",288.173708058781
"China","Reference","Pasture","2100",281.693667891707
"China","Reference","Rice","1990",183.917379418007
"China","Reference","Rice","2005",179.1109343898
"China","Reference","Rice","2010",198.81580968889
"China","Reference","Rice","2015",207.42038858899
"China","Reference","Rice","2020",208.156177724635
"China","Reference","Rice","2025",208.262698576714
"China","Reference","Rice","2030",206.818005595998
"China","Reference","Rice","2035",204.46013819873
"China","Reference","Rice","2040",200.921469953197
"China","Reference","Rice","2045",196.421075229488
"China","Reference","Rice","2050",191.048516736827
"China","Reference","Rice","2055",185.514868723018
"China","Reference","Rice","2060",179.493810696425
"China","Reference","Rice","2065",173.268771411029
"China","Reference","Rice","2070",167.244878798404
"China","Reference","Rice","2075",161.404448890365
"China","Reference","Rice","2080",155.691060279096
"China","Reference","Rice","2085",150.102914434084
"China","Reference","Rice","2090",144.727561042275
"China","Reference","Rice","2095",139.662202310679
"China","Reference","Rice","2100",135.002484052449
"China","Reference","RootTuber","1990",142.003301638053
"China","Reference","RootTuber","2005",166.368494578999
"China","Reference","RootTuber","2010",162.910907058998
"China","Reference","RootTuber","2015",172.974688258998
"China","Reference","RootTuber","2020",178.131890491495
"China","Reference","RootTuber","2025",186.965318279282
"China","Reference","RootTuber","2030",189.564573629805
"China","Reference","RootTuber","2035",190.43471868181
"China","Reference","RootTuber","2040",189.462657928733
"China","Reference","RootTuber","2045",187.339285254761
"China","Reference","RootTuber","2050",183.61549422198
"China","Reference","RootTuber","2055",179.419745511609
"China","Reference","RootTuber","2060",174.125529912436
"China","Reference","RootTuber","2065",167.69557866576
"China","Reference","RootTuber","2070",160.943045495656
"China","Reference","RootTuber","2075",153.790641529859
"China","Reference","RootTuber","2080",146.372299564522
"China","Reference","RootTuber","2085",138.992999746892
"China","Reference","RootTuber","2090",131.902389433724
"China","Reference","RootTuber","2095",125.369391581461
"China","Reference","RootTuber","2100",119.451875617319
"China","Reference","SugarCrop","1990",78.9368908974
"China","Reference","SugarCrop","2005",102.81163539
"China","Reference","SugarCrop","2010",127.979336
"China","Reference","SugarCrop","2015",127.7414129
"China","Reference","SugarCrop","2020",130.8190604701
"China","Reference","SugarCrop","2025",134.0178682887
"China","Reference","SugarCrop","2030",134.6812349699
"China","Reference","SugarCrop","2035",134.4417369729
"China","Reference","SugarCrop","2040",133.5677308993
"China","Reference","SugarCrop","2045",132.3959606901
"China","Reference","SugarCrop","2050",130.4701634594
"China","Reference","SugarCrop","2055",127.7575450824
"China","Reference","SugarCrop","2060",124.3703570277
"China","Reference","SugarCrop","2065",120.6306649944
"China","Reference","SugarCrop","2070",116.7134198803
"China","Reference","SugarCrop","2075",112.7302739249
"China","Reference","SugarCrop","2080",108.6794190013
"China","Reference","SugarCrop","2085",104.6912607121
"China","Reference","SugarCrop","2090",100.9095110111
"China","Reference","SugarCrop","2095",97.4603122984
"China","Reference","SugarCrop","2100",94.4004376498
"China","Reference","Wheat","1990",94.410168157791
"China","Reference","Wheat","2005",98.729943669997
"China","Reference","Wheat","2010",116.238754939795
"China","Reference","Wheat","2015",126.924398339796
"China","Reference","Wheat","2020",129.353011431977
"China","Reference","Wheat","2025",131.456297689922
"China","Reference","Wheat","2030",132.666116455905
"China","Reference","Wheat","2035",131.350352309668
"China","Reference","Wheat","2040",129.444198502122
"China","Reference","Wheat","2045",126.988139124283
"China","Reference","Wheat","2050",124.050404966129
"China","Reference","Wheat","2055",120.699830365886
"China","Reference","Wheat","2060",117.110515698146
"China","Reference","Wheat","2065",113.487913546059
"China","Reference","Wheat","2070",109.877551570557
"China","Reference","Wheat","2075",106.277338820679
"China","Reference","Wheat","2080",102.725717674304
"China","Reference","Wheat","2085",99.343208290073
"China","Reference","Wheat","2090",96.168017807322
"China","Reference","Wheat","2095",93.254963100203
"China","Reference","Wheat","2100",90.590319794481
"Global","Reference","Corn","1990",485.782197638899
"Global","Reference","Corn","2005",726.595375864341
"Global","Reference","Corn","2010",861.192314948044
"Global","Reference","Corn","2015",1046.06177885256
"Global","Reference","Corn","2020",1098.74561649933
"Global","Reference","Corn","2025",1149.02203026906
"Global","Reference","Corn","2030",1192.49014515059
"Global","Reference","Corn","2035",1222.20830820712
"Global","Reference","Corn","2040",1257.12898644234
"Global","Reference","Corn","2045",1306.32639705848
"Global","Reference","Corn","2050",1353.28836266469
"Global","Reference","Corn","2055",1385.31542708362
"Global","Reference","Corn","2060",1406.64410017635
"Global","Reference","Corn","2065",1425.57413785169
"Global","Reference","Corn","2070",1436.92817263349
"Global","Reference","Corn","2075",1453.04611166876
"Global","Reference","Corn","2080",1473.4005648527
"Global","Reference","Corn","2085",1494.24459055101
"Global","Reference","Corn","2090",1512.1120298399
"Global","Reference","Corn","2095",1525.61380130009
"Global","Reference","Corn","2100",1536.74033852131
"Global","Reference","FiberCrop","1990",59.3920330252661
"Global","Reference","FiberCrop","2005",73.1399855871865
"Global","Reference","FiberCrop","2010",75.2593044612354
"Global","Reference","FiberCrop","2015",77.2695408334061
"Global","Reference","FiberCrop","2020",80.8630688657355
"Global","Reference","FiberCrop","2025",85.9262721162665
"Global","Reference","FiberCrop","2030",90.0987272930977
"Global","Reference","FiberCrop","2035",94.0361877859043
"Global","Reference","FiberCrop","2040",97.8268464993996
"Global","Reference","FiberCrop","2045",101.207943526983
"Global","Reference","FiberCrop","2050",103.948400479496
"Global","Reference","FiberCrop","2055",103.144099655402
"Global","Reference","FiberCrop","2060",102.903849124827
"Global","Reference","FiberCrop","2065",102.429882218983
"Global","Reference","FiberCrop","2070",101.697389162038
"Global","Reference","FiberCrop","2075",100.642454919066
"Global","Reference","FiberCrop","2080",99.3505508024413
"Global","Reference","FiberCrop","2085",98.1395481758154
"Global","Reference","FiberCrop","2090",96.8102460885007
"Global","Reference","FiberCrop","2095",95.3824400863699
"Global","Reference","FiberCrop","2100",93.8627693492448
"Global","Reference","FodderGrass","1990",561.280160491952
"Global","Reference","FodderGrass","2005",714.360264183502
"Global","Reference","FodderGrass","2010",773.214783031442
"Global","Reference","FodderGrass","2015",773.659602917878
"Global","Reference","FodderGrass","2020",802.77226951102
"Global","Reference","FodderGrass","2025",870.343841532608
"Global","Reference","FodderGrass","2030",898.21096670491
"Global","Reference","FodderGrass","2035",1017.51934403308
"Global","Reference","FodderGrass","2040",1069.41177854653
