"region","scenario","fuel","year","Elec_Generation"
"China","Reference","biomass","1990",1.44587e-06
"China","Reference","biomass","2005",0.01872
"China","Reference","biomass","2010",0.121906
"China","Reference","biomass","2015",0.229424
"China","Reference","biomass","2020",0.190219
"China","Reference","biomass","2025",0.23779713
"China","Reference","biomass","2030",0.27975169
"China","Reference","biomass","2035",0.33636592
"China","Reference","biomass","2040",0.3750801
"China","Reference","biomass","2045",0.3688398
"China","Reference","biomass","2050",0.3519669
"China","Reference","biomass","2055",0.3700134
"China","Reference","biomass","2060",0.4175058
"China","Reference","biomass","2065",0.4911844
"China","Reference","biomass","2070",0.5909188
"China","Reference","biomass","2075",0.7088128
"China","Reference","biomass","2080",0.8186012
"China","Reference","biomass","2085",0.9667402
"China","Reference","biomass","2090",1.13765749
"China","Reference","biomass","2095",1.33074324
"China","Reference","biomass","2100",1.56363993
"China","Reference","coal","1990",1.69114
"China","Reference","coal","2005",7.22629
"China","Reference","coal","2010",11.7486
"China","Reference","coal","2015",14.8819
"China","Reference","coal","2020",16.648
"China","Reference","coal","2025",18.6429413
"China","Reference","coal","2030",20.1027953
"China","Reference","coal","2035",20.5756256
"China","Reference","coal","2040",20.1872658
"China","Reference","coal","2045",19.157424
"China","Reference","coal","2050",17.351966
"China","Reference","coal","2055",15.209147
"China","Reference","coal","2060",12.988881
"China","Reference","coal","2065",10.918427
"China","Reference","coal","2070",9.0367
"China","Reference","coal","2075",7.46108
"China","Reference","coal","2080",6.07
"China","Reference","coal","2085",5.127037
"China","Reference","coal","2090",4.600295
"China","Reference","coal","2095",4.434522
"China","Reference","coal","2100",4.4831351
"China","Reference","gas","1990",0.00997559
"China","Reference","gas","2005",0.0843043
"China","Reference","gas","2010",0.3329
"China","Reference","gas","2015",0.569525
"China","Reference","gas","2020",0.542528
"China","Reference","gas","2025",0.6134196
"China","Reference","gas","2030",0.6980483
"China","Reference","gas","2035",0.7528554
"China","Reference","gas","2040",0.791724
"China","Reference","gas","2045",0.883393
"China","Reference","gas","2050",0.954208
"China","Reference","gas","2055",1.049151
"China","Reference","gas","2060",1.1290846
"China","Reference","gas","2065",1.1450103
"China","Reference","gas","2070",1.1607382
"China","Reference","gas","2075",1.1707665
"China","Reference","gas","2080",1.1677893
"China","Reference","gas","2085",1.17890375
"China","Reference","gas","2090",1.16712181
"China","Reference","gas","2095",1.15730198
"China","Reference","gas","2100",1.1534137
"China","Reference","geothermal","1990",0.0002052
"China","Reference","geothermal","2005",0.000413999
"China","Reference","geothermal","2010",0.000449999
"China","Reference","geothermal","2015",0.000449999
"China","Reference","geothermal","2020",0.0569
"China","Reference","geothermal","2025",0.113031
"China","Reference","geothermal","2030",0.113036
"China","Reference","geothermal","2035",0.113021
"China","Reference","geothermal","2040",0.113
"China","Reference","geothermal","2045",0.112963
"China","Reference","geothermal","2050",0.112947
"China","Reference","geothermal","2055",0.112907
"China","Reference","geothermal","2060",0.112897
"China","Reference","geothermal","2065",0.112897
"China","Reference","geothermal","2070",0.112891
"China","Reference","geothermal","2075",0.112889
"China","Reference","geothermal","2080",0.11291
"China","Reference","geothermal","2085",0.112899
"China","Reference","geothermal","2090",0.11293
"China","Reference","geothermal","2095",0.112917
"China","Reference","geothermal","2100",0.112918
"China","Reference","hydro","1990",0.456446
"China","Reference","hydro","2005",1.42964
"China","Reference","hydro","2010",2.56154
"China","Reference","hydro","2015",4.01311
"China","Reference","hydro","2020",4.01308
"China","Reference","hydro","2025",4.01308
"China","Reference","hydro","2030",4.01308
"China","Reference","hydro","2035",4.01308
"China","Reference","hydro","2040",4.01308
"China","Reference","hydro","2045",4.01308
"China","Reference","hydro","2050",4.01308
"China","Reference","hydro","2055",4.01308
"China","Reference","hydro","2060",4.01308
"China","Reference","hydro","2065",4.01308
"China","Reference","hydro","2070",4.01308
"China","Reference","hydro","2075",4.01308
"China","Reference","hydro","2080",4.01308
"China","Reference","hydro","2085",4.01308
"China","Reference","hydro","2090",4.01308
"China","Reference","hydro","2095",4.01308
"China","Reference","hydro","2100",4.01308
"China","Reference","nuclear","1990",0
"China","Reference","nuclear","2005",0.191116
"China","Reference","nuclear","2010",0.265967
"China","Reference","nuclear","2015",0.614838
"China","Reference","nuclear","2020",0.919778
"China","Reference","nuclear","2025",1.375927
"China","Reference","nuclear","2030",1.898126
"China","Reference","nuclear","2035",2.489292
"China","Reference","nuclear","2040",3.238571
"China","Reference","nuclear","2045",4.298768
"China","Reference","nuclear","2050",5.328356
"China","Reference","nuclear","2055",6.501155
"China","Reference","nuclear","2060",7.638942
"China","Reference","nuclear","2065",8.6821301
"China","Reference","nuclear","2070",9.6875002
"China","Reference","nuclear","2075",10.6003
"China","Reference","nuclear","2080",11.0048
"China","Reference","nuclear","2085",11.2751
"China","Reference","nuclear","2090",11.3527
"China","Reference","nuclear","2095",11.243
"China","Reference","nuclear","2100",10.9325
"China","Reference","oil","1990",0.183376
"China","Reference","oil","2005",0.182675
"China","Reference","oil","2010",0.0541114
"China","Reference","oil","2015",0.035915
"China","Reference","oil","2020",0.02044895
"China","Reference","oil","2025",0.0217206
"China","Reference","oil","2030",0.0209096
"China","Reference","oil","2035",0.02077864
"China","Reference","oil","2040",0.02175713
