region,Name,fuel,year,Difference,Rel_Dif
China,Policy,biomass,1990,0,0
China,Policy,biomass,2005,0,0
China,Policy,biomass,2010,0,0
China,Policy,biomass,2015,0,0
China,Policy,biomass,2020,2.00E-06,0.00105142
China,Policy,biomass,2025,-0.01495879,-6.290567931
China,Policy,biomass,2030,-0.04785238,-17.10530507
China,Policy,biomass,2035,0.15342358,45.61210601
China,Policy,biomass,2040,0.1938302,51.67701512
China,Policy,biomass,2045,0.4359606,118.1978192
China,Policy,biomass,2050,0.7987124,226.9282708
China,Policy,biomass,2055,1.1852388,320.3232099
China,Policy,biomass,2060,1.57240289,376.6182146
China,Policy,biomass,2065,1.6953222,345.149846
China,Policy,biomass,2070,1.4673567,248.317823
China,Policy,biomass,2075,1.21709167,171.7084779
China,Policy,biomass,2080,1.09155403,133.3438101
China,Policy,biomass,2085,1.08581071,112.316702
China,Policy,biomass,2090,1.05454001,92.69398033
China,Policy,biomass,2095,1.09751098,82.47353411
China,Policy,biomass,2100,0.94282881,60.29705381
China,Policy,coal,1990,0,0
China,Policy,coal,2005,0,0
China,Policy,coal,2010,0,0
China,Policy,coal,2015,0,0
China,Policy,coal,2020,0,0
China,Policy,coal,2025,0.01142136,0.061263723
China,Policy,coal,2030,0.0253031,0.125868565
China,Policy,coal,2035,-2.4689826,-11.99955058
China,Policy,coal,2040,-6.3864858,-31.63620999
China,Policy,coal,2045,-9.293452,-48.51096891
China,Policy,coal,2050,-9.600905,-55.33035853
China,Policy,coal,2055,-7.63925,-50.22799766
China,Policy,coal,2060,-5.0502079,-38.8810083
China,Policy,coal,2065,-2.013728,-18.44338933
China,Policy,coal,2070,0.247653,2.740524749
China,Policy,coal,2075,2.030678,27.21694446
China,Policy,coal,2080,3.385335,55.77158155
China,Policy,coal,2085,4.1970607,81.86133043
China,Policy,coal,2090,4.6386965,100.8347617
China,Policy,coal,2095,3.4916217,78.73727315
China,Policy,coal,2100,2.25465739,50.2919796
China,Policy,gas,1990,0,0
China,Policy,gas,2005,0,0
China,Policy,gas,2010,0,0
China,Policy,gas,2015,0,0
China,Policy,gas,2020,1.00E-06,0.000184322
China,Policy,gas,2025,0.0032887,0.53612568
China,Policy,gas,2030,0.0116566,1.669884448
China,Policy,gas,2035,0.1580016,20.98697838
China,Policy,gas,2040,0.274842,34.71437016
China,Policy,gas,2045,0.3496766,39.58335644
China,Policy,gas,2050,0.3462777,36.28954065
China,Policy,gas,2055,0.2855036,27.21282256
China,Policy,gas,2060,0.26246087,23.24545654
China,Policy,gas,2065,0.3958743,34.57386366
China,Policy,gas,2070,0.39775076,34.26705178
China,Policy,gas,2075,0.36679032,31.32907544
China,Policy,gas,2080,0.07557814,6.471898655
China,Policy,gas,2085,-0.131670886,-11.16892588
China,Policy,gas,2090,-0.319670367,-27.38963185
China,Policy,gas,2095,-0.296388389,-25.61028963
China,Policy,gas,2100,-0.291569685,-25.27884704
China,Policy,geothermal,1990,0,0
China,Policy,geothermal,2005,0,0
China,Policy,geothermal,2010,0,0
China,Policy,geothermal,2015,0,0
China,Policy,geothermal,2020,0,0
China,Policy,geothermal,2025,0,0
China,Policy,geothermal,2030,0,0
China,Policy,geothermal,2035,-0.000219,-0.1937693
China,Policy,geothermal,2040,-0.000153,-0.13539823
China,Policy,geothermal,2045,-0.000107,-0.09472128
China,Policy,geothermal,2050,-6.80E-05,-0.060205229
China,Policy,geothermal,2055,-1.10E-05,-0.009742531
China,Policy,geothermal,2060,1.00E-06,0.000885763
China,Policy,geothermal,2065,-4.60E-05,-0.040745104
China,Policy,geothermal,2070,2.10E-05,0.018602014
China,Policy,geothermal,2075,2.90E-05,0.025688951
China,Policy,geothermal,2080,3.70E-05,0.032769462
China,Policy,geothermal,2085,6.80E-05,0.060230826
China,Policy,geothermal,2090,4.50E-05,0.039847693
China,Policy,geothermal,2095,-9.30E-05,-0.08236138
China,Policy,geothermal,2100,-4.10E-05,-0.036309534
China,Policy,hydro,1990,0,0
China,Policy,hydro,2005,0,0
China,Policy,hydro,2010,0,0
China,Policy,hydro,2015,0,0
China,Policy,hydro,2020,0,0
China,Policy,hydro,2025,0,0
China,Policy,hydro,2030,0,0
China,Policy,hydro,2035,0,0
China,Policy,hydro,2040,0,0
China,Policy,hydro,2045,0,0
China,Policy,hydro,2050,0,0
China,Policy,hydro,2055,0,0
China,Policy,hydro,2060,0,0
China,Policy,hydro,2065,0,0
China,Policy,hydro,2070,0,0
China,Policy,hydro,2075,0,0
China,Policy,hydro,2080,0,0
China,Policy,hydro,2085,0,0
China,Policy,hydro,2090,0,0
China,Policy,hydro,2095,0,0
China,Policy,hydro,2100,0,0
China,Policy,nuclear,1990,0,NA
China,Policy,nuclear,2005,0,0
