"region","scenario","Scen_Label","year","tot_Generation"
"China","Policy","Policy",1990,2.34115863585
"China","Policy","Policy",2005,9.140771078
"China","Policy","Policy",2010,15.24865128898
"China","Policy","Policy",2015,21.1752451987
"China","Policy","Policy",2020,23.768471224
"China","Policy","Policy",2025,27.600464821
"China","Policy","Policy",2030,31.639514507
"China","Policy","Policy",2035,42.656159697
"China","Policy","Policy",2040,46.384468197
"China","Policy","Policy",2045,49.586934247
"China","Policy","Policy",2050,53.041708628
"China","Policy","Policy",2055,56.568933608
"China","Policy","Policy",2060,59.456570548
"China","Policy","Policy",2065,57.530123344
"China","Policy","Policy",2070,56.026980017
"China","Policy","Policy",2075,54.51668724
"China","Policy","Policy",2080,52.7635852532
"China","Policy","Policy",2085,51.077663341
"China","Policy","Policy",2090,49.1730368102
"China","Policy","Policy",2095,46.8054681498
"China","Policy","Policy",2100,44.4618895392
"China","Policy_CI_GFDL","Policy_CI",1990,2.34115863585
"China","Policy_CI_GFDL","Policy_CI",2005,9.140771078
"China","Policy_CI_GFDL","Policy_CI",2010,15.24865128898
"China","Policy_CI_GFDL","Policy_CI",2015,21.1752451987
"China","Policy_CI_GFDL","Policy_CI",2020,23.749796686
"China","Policy_CI_GFDL","Policy_CI",2025,27.591107984
"China","Policy_CI_GFDL","Policy_CI",2030,31.630635403
"China","Policy_CI_GFDL","Policy_CI",2035,42.846719663
"China","Policy_CI_GFDL","Policy_CI",2040,46.459674233
"China","Policy_CI_GFDL","Policy_CI",2045,49.598231093
"China","Policy_CI_GFDL","Policy_CI",2050,53.010762364
"China","Policy_CI_GFDL","Policy_CI",2055,56.498542714
"China","Policy_CI_GFDL","Policy_CI",2060,59.423722394
"China","Policy_CI_GFDL","Policy_CI",2065,57.55766151
"China","Policy_CI_GFDL","Policy_CI",2070,56.076166018
"China","Policy_CI_GFDL","Policy_CI",2075,54.560854244
"China","Policy_CI_GFDL","Policy_CI",2080,52.8027185048
"China","Policy_CI_GFDL","Policy_CI",2085,51.1265826037
"China","Policy_CI_GFDL","Policy_CI",2090,49.2015997774
"China","Policy_CI_GFDL","Policy_CI",2095,46.8301717398
"China","Policy_CI_GFDL","Policy_CI",2100,44.4842056836
"China","Policy_CI_HadGEM","Policy_CI",1990,2.34115863585
"China","Policy_CI_HadGEM","Policy_CI",2005,9.140771078
"China","Policy_CI_HadGEM","Policy_CI",2010,15.24865128898
"China","Policy_CI_HadGEM","Policy_CI",2015,21.1752451987
"China","Policy_CI_HadGEM","Policy_CI",2020,23.747392541
"China","Policy_CI_HadGEM","Policy_CI",2025,27.59076078
"China","Policy_CI_HadGEM","Policy_CI",2030,31.633089671
"China","Policy_CI_HadGEM","Policy_CI",2035,42.869465188
"China","Policy_CI_HadGEM","Policy_CI",2040,46.497001088
"China","Policy_CI_HadGEM","Policy_CI",2045,49.640947668
"China","Policy_CI_HadGEM","Policy_CI",2050,53.067507565
"China","Policy_CI_HadGEM","Policy_CI",2055,56.546230928
"China","Policy_CI_HadGEM","Policy_CI",2060,59.434093312
"China","Policy_CI_HadGEM","Policy_CI",2065,57.547209466
"China","Policy_CI_HadGEM","Policy_CI",2070,56.028752464
"China","Policy_CI_HadGEM","Policy_CI",2075,54.535976436
"China","Policy_CI_HadGEM","Policy_CI",2080,52.7686464158
"China","Policy_CI_HadGEM","Policy_CI",2085,51.0853349109
"China","Policy_CI_HadGEM","Policy_CI",2090,49.2063362755
"China","Policy_CI_HadGEM","Policy_CI",2095,46.8165339746
"China","Policy_CI_HadGEM","Policy_CI",2100,44.4084590161
"China","Policy_CI_IPSL","Policy_CI",1990,2.34115863585
"China","Policy_CI_IPSL","Policy_CI",2005,9.140771078
"China","Policy_CI_IPSL","Policy_CI",2010,15.24865128898
"China","Policy_CI_IPSL","Policy_CI",2015,21.1752451987
"China","Policy_CI_IPSL","Policy_CI",2020,23.746880236
"China","Policy_CI_IPSL","Policy_CI",2025,27.587508673
"China","Policy_CI_IPSL","Policy_CI",2030,31.626644323
"China","Policy_CI_IPSL","Policy_CI",2035,42.848305349
"China","Policy_CI_IPSL","Policy_CI",2040,46.460419929
"China","Policy_CI_IPSL","Policy_CI",2045,49.615718219
"China","Policy_CI_IPSL","Policy_CI",2050,53.075174867
"China","Policy_CI_IPSL","Policy_CI",2055,56.579068388
"China","Policy_CI_IPSL","Policy_CI",2060,59.507350198
"China","Policy_CI_IPSL","Policy_CI",2065,57.600122656
"China","Policy_CI_IPSL","Policy_CI",2070,56.092158432
"China","Policy_CI_IPSL","Policy_CI",2075,54.583030953
"China","Policy_CI_IPSL","Policy_CI",2080,52.8064589616
"China","Policy_CI_IPSL","Policy_CI",2085,51.1260605709
"China","Policy_CI_IPSL","Policy_CI",2090,49.2234337074
"China","Policy_CI_IPSL","Policy_CI",2095,46.8502681009
"China","Policy_CI_IPSL","Policy_CI",2100,44.4394202196
"China","Policy_CI_MIROC","Policy_CI",1990,2.34115863585
"China","Policy_CI_MIROC","Policy_CI",2005,9.140771078
"China","Policy_CI_MIROC","Policy_CI",2010,15.24865128898
"China","Policy_CI_MIROC","Policy_CI",2015,21.1752451987
"China","Policy_CI_MIROC","Policy_CI",2020,23.741455745
"China","Policy_CI_MIROC","Policy_CI",2025,27.57632333
"China","Policy_CI_MIROC","Policy_CI",2030,31.611906869
"China","Policy_CI_MIROC","Policy_CI",2035,42.821586646
"China","Policy_CI_MIROC","Policy_CI",2040,46.440654816
"China","Policy_CI_MIROC","Policy_CI",2045,49.601697256
"China","Policy_CI_MIROC","Policy_CI",2050,53.069947779
"China","Policy_CI_MIROC","Policy_CI",2055,56.59080463
"China","Policy_CI_MIROC","Policy_CI",2060,59.501763107
"China","Policy_CI_MIROC","Policy_CI",2065,57.661074394
"China","Policy_CI_MIROC","Policy_CI",2070,56.174918971
"China","Policy_CI_MIROC","Policy_CI",2075,54.701421462
"China","Policy_CI_MIROC","Policy_CI",2080,52.9230834926
"China","Policy_CI_MIROC","Policy_CI",2085,51.2550258045
"China","Policy_CI_MIROC","Policy_CI",2090,49.3347248981
"China","Policy_CI_MIROC","Policy_CI",2095,46.9752643939
"China","Policy_CI_MIROC","Policy_CI",2100,44.544046317
"China","Policy_CI_NorESM","Policy_CI",1990,2.34115863585
"China","Policy_CI_NorESM","Policy_CI",2005,9.140771078
"China","Policy_CI_NorESM","Policy_CI",2010,15.24865128898
"China","Policy_CI_NorESM","Policy_CI",2015,21.1752451987
"China","Policy_CI_NorESM","Policy_CI",2020,23.748476833
"China","Policy_CI_NorESM","Policy_CI",2025,27.587587566
"China","Policy_CI_NorESM","Policy_CI",2030,31.621287796
"China","Policy_CI_NorESM","Policy_CI",2035,42.852194142
"China","Policy_CI_NorESM","Policy_CI",2040,46.463646892
"China","Policy_CI_NorESM","Policy_CI",2045,49.612125212
"China","Policy_CI_NorESM","Policy_CI",2050,53.047137277
"China","Policy_CI_NorESM","Policy_CI",2055,56.534976107
"China","Policy_CI_NorESM","Policy_CI",2060,59.426778401
"China","Policy_CI_NorESM","Policy_CI",2065,57.560061838
"China","Policy_CI_NorESM","Policy_CI",2070,56.056609848
"China","Policy_CI_NorESM","Policy_CI",2075,54.56462591
"China","Policy_CI_NorESM","Policy_CI",2080,52.7796995539
"China","Policy_CI_NorESM","Policy_CI",2085,51.1473049747
"China","Policy_CI_NorESM","Policy_CI",2090,49.219000129
"China","Policy_CI_NorESM","Policy_CI",2095,46.8369236848
"China","Policy_CI_NorESM","Policy_CI",2100,44.4450539928
"China","Policy_NoDAC","Policy_NoDAC",1990,2.34115863585
"China","Policy_NoDAC","Policy_NoDAC",2005,9.140771078
"China","Policy_NoDAC","Policy_NoDAC",2010,15.24865128898
"China","Policy_NoDAC","Policy_NoDAC",2015,21.1752451987
"China","Policy_NoDAC","Policy_NoDAC",2020,23.768471326
"China","Policy_NoDAC","Policy_NoDAC",2025,27.600457923
"China","Policy_NoDAC","Policy_NoDAC",2030,31.639426217
"China","Policy_NoDAC","Policy_NoDAC",2035,42.657923393
"China","Policy_NoDAC","Policy_NoDAC",2040,46.392146533
"China","Policy_NoDAC","Policy_NoDAC",2045,49.727291672
"China","Policy_NoDAC","Policy_NoDAC",2050,54.934544647
"China","Policy_NoDAC","Policy_NoDAC",2055,59.116090758
"China","Policy_NoDAC","Policy_NoDAC",2060,59.8228575297
"China","Policy_NoDAC","Policy_NoDAC",2065,59.1870375752
"China","Policy_NoDAC","Policy_NoDAC",2070,57.5148224068
"China","Policy_NoDAC","Policy_NoDAC",2075,55.71960090331
"China","Policy_NoDAC","Policy_NoDAC",2080,53.84535499099
"China","Policy_NoDAC","Policy_NoDAC",2085,51.877646890338
"China","Policy_NoDAC","Policy_NoDAC",2090,49.8184897352812
"China","Policy_NoDAC","Policy_NoDAC",2095,47.580916076561
"China","Policy_NoDAC","Policy_NoDAC",2100,45.437741137975
