"region","scenario","landuse","year","LU_frac"
"China","Reference","biomass","1990",0
"China","Reference","biomass","2005",0
"China","Reference","biomass","2010",0
"China","Reference","biomass","2015",0
"China","Reference","biomass","2020",1.56972160636
"China","Reference","biomass","2025",1.49864216721
"China","Reference","biomass","2030",1.94557369944
"China","Reference","biomass","2035",2.64510010457
"China","Reference","biomass","2040",3.95763636531
"China","Reference","biomass","2045",7.47675993051
"China","Reference","biomass","2050",11.8267184794
"China","Reference","biomass","2055",16.033298905074
"China","Reference","biomass","2060",19.982242575574
"China","Reference","biomass","2065",24.282122495385
"China","Reference","biomass","2070",29.0983620250083
"China","Reference","biomass","2075",34.8177003811561
"China","Reference","biomass","2080",41.1574040254802
"China","Reference","biomass","2085",47.6426477143008
"China","Reference","biomass","2090",54.700003332945
"China","Reference","biomass","2095",62.5184438191464
"China","Reference","biomass","2100",71.6918835949752
"China","Reference","crops","1990",1179.30707611366
"China","Reference","crops","2005",1186.48502614058
"China","Reference","crops","2010",1144.4102928319
"China","Reference","crops","2015",1159.97250457191
"China","Reference","crops","2020",1174.03476148227
"China","Reference","crops","2025",1184.02702059226
"China","Reference","crops","2030",1173.53105958684
"China","Reference","crops","2035",1160.41856035393
"China","Reference","crops","2040",1142.56253747274
"China","Reference","crops","2045",1120.04344354189
"China","Reference","crops","2050",1092.51448188134
"China","Reference","crops","2055",1065.23178522629
"China","Reference","crops","2060",1035.6665099725
"China","Reference","crops","2065",1005.62739314864
"China","Reference","crops","2070",976.481292970321
"China","Reference","crops","2075",949.678213438544
"China","Reference","crops","2080",925.500232277612
"China","Reference","crops","2085",902.62775053066
"China","Reference","crops","2090",880.585081746543
"China","Reference","crops","2095",859.509402940833
"China","Reference","crops","2100",840.410886756023
"China","Reference","forest","1990",1365.418215
"China","Reference","forest","2005",1359.97669139
"China","Reference","forest","2010",1403.5948151
"China","Reference","forest","2015",1404.7081637
"China","Reference","forest","2020",1404.3194066
"China","Reference","forest","2025",1445.89912488
