region,Name,landuse,year,Difference,Rel_Dif,,
China,Policy,biomass,1990,0,NA,,
China,Policy,biomass,2005,0,NA,,
China,Policy,biomass,2010,0,NA,,
China,Policy,biomass,2015,0,NA,,
China,Policy,biomass,2020,-2.11E-05,-0.001345649,,
China,Policy,biomass,2025,0.43571332,29.07387299,,
China,Policy,biomass,2030,1.119061631,57.51833667,,
China,Policy,biomass,2035,5.704335221,215.6566858,,
China,Policy,biomass,2040,11.63699387,294.0389869,,
China,Policy,biomass,2045,16.06197951,214.8254012,,
China,Policy,biomass,2050,20.43378742,172.776476,,
China,Policy,biomass,2055,24.91226719,155.3782995,,
China,Policy,biomass,2060,30.41017308,152.185987,,
China,Policy,biomass,2065,29.86202539,122.9794693,,
China,Policy,biomass,2070,27.24765743,93.63983241,,
China,Policy,biomass,2075,23.86306015,68.53715177,,
China,Policy,biomass,2080,20.05709549,48.73265446,,
China,Policy,biomass,2085,15.8088907,33.18222528,,
China,Policy,biomass,2090,10.68603646,19.53571446,,
China,Policy,biomass,2095,6.121811081,9.792008097,,
China,Policy,biomass,2100,1.455439011,2.030130802,,
China,Policy,crops,1990,0,0,,
China,Policy,crops,2005,0,0,,
China,Policy,crops,2010,0,0,,
China,Policy,crops,2015,0,0,,
China,Policy,crops,2020,-0.000143761,-1.22E-05,,
China,Policy,crops,2025,-1.743574232,-0.147257977,,
China,Policy,crops,2030,2.664253042,0.227028762,,
China,Policy,crops,2035,-13.52092013,-1.165176135,,
China,Policy,crops,2040,-17.89362256,-1.566095681,,
China,Policy,crops,2045,-21.73054983,-1.940152407,,
China,Policy,crops,2050,-24.36161385,-2.229866446,,
China,Policy,crops,2055,-24.44907539,-2.295188308,,
China,Policy,crops,2060,-22.99380135,-2.220193578,,
China,Policy,crops,2065,-12.92389935,-1.285157847,,
China,Policy,crops,2070,-7.748733,-0.793536247,,
China,Policy,crops,2075,-5.697568526,-0.599947271,,
China,Policy,crops,2080,-5.596161484,-0.604663434,,
China,Policy,crops,2085,-5.967755044,-0.661153509,,
China,Policy,crops,2090,-5.242129012,-0.595300684,,
China,Policy,crops,2095,-3.576524287,-0.416112293,,
China,Policy,crops,2100,-2.188000557,-0.260348907,,
China,Policy,forest,1990,0,0,,
China,Policy,forest,2005,0,0,,
China,Policy,forest,2010,0,0,,
China,Policy,forest,2015,0,0,,
China,Policy,forest,2020,0.000111,7.90E-06,,
China,Policy,forest,2025,-34.20210646,-2.365455921,,
China,Policy,forest,2030,-38.72452817,-2.649814334,,
China,Policy,forest,2035,36.70642858,2.489616777,,
China,Policy,forest,2040,50.4107372,3.373893094,,
China,Policy,forest,2045,52.79725758,3.477501872,,
China,Policy,forest,2050,42.69066695,2.762639786,,
China,Policy,forest,2055,26.13776187,1.656424197,,
China,Policy,forest,2060,12.78524975,0.793580614,,
China,Policy,forest,2065,9.24497791,0.563066205,,
