"region","scenario","landuse","year","LU_frac"
"China","Reference","forest (managed)",1990,304.1711473
"China","Reference","forest (unmanaged)",1990,1061.247068
"Taiwan","Reference","forest (managed)",1990,0
"Taiwan","Reference","forest (unmanaged)",1990,19.83360367
"Global","Reference","forest (managed)",1990,2695.617796
"Global","Reference","forest (unmanaged)",1990,27546.52216
"China","Reference","forest (managed)",2005,244.2920956
"China","Reference","forest (unmanaged)",2005,1115.684596
"Taiwan","Reference","forest (managed)",2005,0
"Taiwan","Reference","forest (unmanaged)",2005,18.82631389
"Global","Reference","forest (managed)",2005,2657.78827
"Global","Reference","forest (unmanaged)",2005,27412.84865
"China","Reference","forest (managed)",2010,274.2104071
"China","Reference","forest (unmanaged)",2010,1129.384408
"Taiwan","Reference","forest (managed)",2010,0
"Taiwan","Reference","forest (unmanaged)",2010,18.68191411
"Global","Reference","forest (managed)",2010,2578.045671
"Global","Reference","forest (unmanaged)",2010,27446.71379
"China","Reference","forest (managed)",2015,270.7573517
"China","Reference","forest (unmanaged)",2015,1133.950812
"Taiwan","Reference","forest (managed)",2015,0
"Taiwan","Reference","forest (unmanaged)",2015,18.74980411
"Global","Reference","forest (managed)",2015,2730.356965
"Global","Reference","forest (unmanaged)",2015,27145.09957
"China","Reference","forest (managed)",2020,279.5470356
"China","Reference","forest (unmanaged)",2020,1124.772371
"Taiwan","Reference","forest (managed)",2020,0
"Taiwan","Reference","forest (unmanaged)",2020,18.75211827
"Global","Reference","forest (managed)",2020,2870.931319
"Global","Reference","forest (unmanaged)",2020,27022.50084
"China","Reference","forest (managed)",2025,345.2982449
"China","Reference","forest (unmanaged)",2025,1100.60088
"Taiwan","Reference","forest (managed)",2025,0
"Taiwan","Reference","forest (unmanaged)",2025,18.90442661
"Global","Reference","forest (managed)",2025,3002.202504
"Global","Reference","forest (unmanaged)",2025,27415.15556
"China","Reference","forest (managed)",2030,366.9930352
"China","Reference","forest (unmanaged)",2030,1094.412304
"Taiwan","Reference","forest (managed)",2030,0
"Taiwan","Reference","forest (unmanaged)",2030,18.9159451
"Global","Reference","forest (managed)",2030,3171.576009
"Global","Reference","forest (unmanaged)",2030,27278.9279
"China","Reference","forest (managed)",2035,384.86656
"China","Reference","forest (unmanaged)",2035,1089.514113
"Taiwan","Reference","forest (managed)",2035,0
"Taiwan","Reference","forest (unmanaged)",2035,20.53595667
"Global","Reference","forest (managed)",2035,3297.772918
"Global","Reference","forest (unmanaged)",2035,27203.17012
"China","Reference","forest (managed)",2040,407.5442051
"China","Reference","forest (unmanaged)",2040,1086.597304
"Taiwan","Reference","forest (managed)",2040,0
"Taiwan","Reference","forest (unmanaged)",2040,21.10999437
"Global","Reference","forest (managed)",2040,3415.248684
"Global","Reference","forest (unmanaged)",2040,27114.49933
"China","Reference","forest (managed)",2045,434.5567411
"China","Reference","forest (unmanaged)",2045,1083.695715
"Taiwan","Reference","forest (managed)",2045,0
"Taiwan","Reference","forest (unmanaged)",2045,21.40089407
"Global","Reference","forest (managed)",2045,3519.122402
"Global","Reference","forest (unmanaged)",2045,27028.52126
"China","Reference","forest (managed)",2050,463.7195033
"China","Reference","forest (unmanaged)",2050,1081.565813
"Taiwan","Reference","forest (managed)",2050,0
"Taiwan","Reference","forest (unmanaged)",2050,21.58262316
"Global","Reference","forest (managed)",2050,3609.59251
"Global","Reference","forest (unmanaged)",2050,26964.89176
"China","Reference","forest (managed)",2055,499.5485992
"China","Reference","forest (unmanaged)",2055,1078.414457
"Taiwan","Reference","forest (managed)",2055,0
"Taiwan","Reference","forest (unmanaged)",2055,21.69248138
"Global","Reference","forest (managed)",2055,3698.492931
"Global","Reference","forest (unmanaged)",2055,26917.19594
"China","Reference","forest (managed)",2060,535.1830734
"China","Reference","forest (unmanaged)",2060,1075.900857
"Taiwan","Reference","forest (managed)",2060,0
"Taiwan","Reference","forest (unmanaged)",2060,21.776282
"Global","Reference","forest (managed)",2060,3771.985599
"Global","Reference","forest (unmanaged)",2060,26892.43814
"China","Reference","forest (managed)",2065,567.509814
"China","Reference","forest (unmanaged)",2065,1074.3891
"Taiwan","Reference","forest (managed)",2065,0
"Taiwan","Reference","forest (unmanaged)",2065,21.8417313
"Global","Reference","forest (managed)",2065,3827.28684
"Global","Reference","forest (unmanaged)",2065,26868.80048
"China","Reference","forest (managed)",2070,598.9019568
"China","Reference","forest (unmanaged)",2070,1073.124645
"Taiwan","Reference","forest (managed)",2070,0
"Taiwan","Reference","forest (unmanaged)",2070,21.8963763
"Global","Reference","forest (managed)",2070,3863.623101
"Global","Reference","forest (unmanaged)",2070,26866.07984
"China","Reference","forest (managed)",2075,625.7809268
"China","Reference","forest (unmanaged)",2075,1072.319775
"Taiwan","Reference","forest (managed)",2075,0
