region,Name,landuse,year,Difference,Rel_Dif
China,Policy,forest (managed),1990,0,0
China,Policy,forest (managed),2005,0,0
China,Policy,forest (managed),2010,0,0
China,Policy,forest (managed),2015,0,0
China,Policy,forest (managed),2020,0,0
China,Policy,forest (managed),2025,-46.9362682,-13.5929646
China,Policy,forest (managed),2030,-50.9907371,-13.89419749
China,Policy,forest (managed),2035,42.0834237,10.93454929
China,Policy,forest (managed),2040,59.1322483,14.50940722
China,Policy,forest (managed),2045,61.2524364,14.09538286
China,Policy,forest (managed),2050,47.6723279,10.28042331
China,Policy,forest (managed),2055,27.2707404,5.459076543
China,Policy,forest (managed),2060,11.883894,2.220528748
China,Policy,forest (managed),2065,11.256021,1.983405524
China,Policy,forest (managed),2070,7.1686639,1.196967854
China,Policy,forest (managed),2075,3.3517631,0.535612857
China,Policy,forest (managed),2080,1.0552682,0.162828788
China,Policy,forest (managed),2085,-1.9290134,-0.289339215
China,Policy,forest (managed),2090,-3.5263415,-0.517633131
China,Policy,forest (managed),2095,-4.5338226,-0.655440618
China,Policy,forest (managed),2100,-5.1186053,-0.732381817
China,Policy,forest (unmanaged),1990,0,0
China,Policy,forest (unmanaged),2005,0,0
China,Policy,forest (unmanaged),2010,0,0
China,Policy,forest (unmanaged),2015,0,0
China,Policy,forest (unmanaged),2020,0.000111,9.87E-06
China,Policy,forest (unmanaged),2025,12.734162,1.157019064
China,Policy,forest (unmanaged),2030,12.266209,1.12080328
China,Policy,forest (unmanaged),2035,-5.376996,-0.493522382
China,Policy,forest (unmanaged),2040,-8.721511,-0.80264427
China,Policy,forest (unmanaged),2045,-8.455179,-0.780217074
China,Policy,forest (unmanaged),2050,-4.981661,-0.460597121
China,Policy,forest (unmanaged),2055,-1.132979,-0.105059701
China,Policy,forest (unmanaged),2060,0.901355,0.083776771
China,Policy,forest (unmanaged),2065,-2.011043,-0.187180138
China,Policy,forest (unmanaged),2070,-2.456745,-0.228933797
China,Policy,forest (unmanaged),2075,-1.996897,-0.186222156
China,Policy,forest (unmanaged),2080,-1.292635,-0.120588852
China,Policy,forest (unmanaged),2085,-0.137714,-0.012846173
China,Policy,forest (unmanaged),2090,0.611454,0.057000054
China,Policy,forest (unmanaged),2095,0.902494,0.084031034
China,Policy,forest (unmanaged),2100,1.103169,0.102586247
Global,Policy,forest (managed),1990,0,0
Global,Policy,forest (managed),2005,0,0
Global,Policy,forest (managed),2010,0,0
Global,Policy,forest (managed),2015,0,0
Global,Policy,forest (managed),2020,0.000522,1.82E-05
Global,Policy,forest (managed),2025,-23.119382,-0.770080698
Global,Policy,forest (managed),2030,-57.205808,-1.803702886
Global,Policy,forest (managed),2035,43.473428,1.318266269
Global,Policy,forest (managed),2040,60.69027,1.777038091
Global,Policy,forest (managed),2045,67.517216,1.918581063
Global,Policy,forest (managed),2050,68.183242,1.888945686
Global,Policy,forest (managed),2055,60.637556,1.639520668
Global,Policy,forest (managed),2060,57.78485,1.531947789
Global,Policy,forest (managed),2065,58.950341,1.540264513
Global,Policy,forest (managed),2070,59.398676,1.537382774
Global,Policy,forest (managed),2075,57.92953,1.490353935
Global,Policy,forest (managed),2080,53.481998,1.371443562
Global,Policy,forest (managed),2085,49.631955,1.272819275
Global,Policy,forest (managed),2090,46.105949,1.185996701
Global,Policy,forest (managed),2095,42.311991,1.094148285
Global,Policy,forest (managed),2100,37.674338,0.981378201
Global,Policy,forest (unmanaged),1990,0,0
Global,Policy,forest (unmanaged),2005,0,0
Global,Policy,forest (unmanaged),2010,0,0
Global,Policy,forest (unmanaged),2015,0,0
Global,Policy,forest (unmanaged),2020,0.00169,6.25E-06
Global,Policy,forest (unmanaged),2025,-405.46466,-1.478979972
Global,Policy,forest (unmanaged),2030,-379.58913,-1.391510441
Global,Policy,forest (unmanaged),2035,156.57861,0.57558957
Global,Policy,forest (unmanaged),2040,180.75032,0.666618689
Global,Policy,forest (unmanaged),2045,155.95811,0.577013106
Global,Policy,forest (unmanaged),2050,81.08176,0.300693809
Global,Policy,forest (unmanaged),2055,-6.15967,-0.022883773
Global,Policy,forest (unmanaged),2060,-69.34556,-0.257862674
Global,Policy,forest (unmanaged),2065,-93.91056,-0.349515268
Global,Policy,forest (unmanaged),2070,-110.12181,-0.40989162
Global,Policy,forest (unmanaged),2075,-103.94343,-0.387141534
Global,Policy,forest (unmanaged),2080,-84.65129,-0.315602381
Global,Policy,forest (unmanaged),2085,-73.93151,-0.27582884
Global,Policy,forest (unmanaged),2090,-67.02186,-0.25011432
Global,Policy,forest (unmanaged),2095,-61.9974,-0.23135154
Global,Policy,forest (unmanaged),2100,-56.35099,-0.210231805
Taiwan,Policy,forest (managed),1990,0,NA
Taiwan,Policy,forest (managed),2005,0,NA
Taiwan,Policy,forest (managed),2010,0,NA
Taiwan,Policy,forest (managed),2015,0,NA
Taiwan,Policy,forest (managed),2020,0,NA
Taiwan,Policy,forest (managed),2025,0,NA
Taiwan,Policy,forest (managed),2030,0,NA
Taiwan,Policy,forest (managed),2035,0,NA
Taiwan,Policy,forest (managed),2040,0,NA
Taiwan,Policy,forest (managed),2045,0,NA
Taiwan,Policy,forest (managed),2050,0,NA
Taiwan,Policy,forest (managed),2055,0,NA
Taiwan,Policy,forest (managed),2060,0,NA
Taiwan,Policy,forest (managed),2065,0,NA
Taiwan,Policy,forest (managed),2070,0,NA
Taiwan,Policy,forest (managed),2075,0,NA
Taiwan,Policy,forest (managed),2080,0,NA
Taiwan,Policy,forest (managed),2085,0,NA
Taiwan,Policy,forest (managed),2090,0,NA
Taiwan,Policy,forest (managed),2095,0,NA
Taiwan,Policy,forest (managed),2100,0,NA
Taiwan,Policy,forest (unmanaged),1990,0,0
Taiwan,Policy,forest (unmanaged),2005,0,0
Taiwan,Policy,forest (unmanaged),2010,0,0
Taiwan,Policy,forest (unmanaged),2015,0,0
Taiwan,Policy,forest (unmanaged),2020,0,0
Taiwan,Policy,forest (unmanaged),2025,0.06187688,0.327314238
Taiwan,Policy,forest (unmanaged),2030,0.05717442,0.302255159
Taiwan,Policy,forest (unmanaged),2035,1.27902723,6.228232999
Taiwan,Policy,forest (unmanaged),2040,0.83798513,3.969613233
Taiwan,Policy,forest (unmanaged),2045,0.65023903,3.0383732
Taiwan,Policy,forest (unmanaged),2050,0.56519344,2.618743031
