"region","Name","sector","year","Difference","Rel_Dif"
"China","Policy","biomass",1990,0,NA
"China","Policy","biomass",2005,0,NA
"China","Policy","biomass",2010,0,NA
"China","Policy","biomass",2015,0,NA
"China","Policy","biomass",2020,-1.14809008999739e-06,-0.0014746864189438
"China","Policy","biomass",2025,0.02370936370637,29.5090377859041
"China","Policy","biomass",2030,0.06766502276128,61.0321272553558
"China","Policy","biomass",2035,0.38119757939625,251.121193191976
"China","Policy","biomass",2040,0.78831685022928,334.481518520642
"China","Policy","biomass",2045,1.08340771290524,231.202971044418
"China","Policy","biomass",2050,1.3543813703809,179.382530867095
"China","Policy","biomass",2055,1.65602445725508,157.647963135336
"China","Policy","biomass",2060,2.03987260251202,152.874615009987
"China","Policy","biomass",2065,2.04692507985806,124.168569639726
"China","Policy","biomass",2070,1.89630999416541,94.5901466296264
"China","Policy","biomass",2075,1.68033464665484,69.130155565521
"China","Policy","biomass",2080,1.42436805884158,49.010179351786
"China","Policy","biomass",2085,1.12650657099059,33.1820242242967
"China","Policy","biomass",2090,0.76296499073799,19.4307162664862
"China","Policy","biomass",2095,0.438496912760881,9.72071738667823
"China","Policy","biomass",2100,0.10304714444057,1.98258675476769
"China","Policy","nuclearFuelGenIII",1990,0,NA
"China","Policy","nuclearFuelGenIII",2005,0,NA
"China","Policy","nuclearFuelGenIII",2010,0,NA
"China","Policy","nuclearFuelGenIII",2015,0,NA
"China","Policy","nuclearFuelGenIII",2020,0,0
"China","Policy","nuclearFuelGenIII",2025,-7.54999999999992e-05,-0.158132735151753
"China","Policy","nuclearFuelGenIII",2030,-0.000176999999999997,-0.221679504039071
"China","Policy","nuclearFuelGenIII",2035,0.153828,131.786678089527
"China","Policy","nuclearFuelGenIII",2040,0.248909,152.290081006339
"China","Policy","nuclearFuelGenIII",2045,0.337378,147.687148979386
"China","Policy","nuclearFuelGenIII",2050,0.39667,135.988865005331
"China","Policy","nuclearFuelGenIII",2055,0.414254,114.208912758191
"China","Policy","nuclearFuelGenIII",2060,0.419358,97.2907135366884
"China","Policy","nuclearFuelGenIII",2065,0.440223,89.244039896205
"China","Policy","nuclearFuelGenIII",2070,0.424074,76.7759023667836
"China","Policy","nuclearFuelGenIII",2075,0.404124,66.5491983611524
"China","Policy","nuclearFuelGenIII",2080,0.385031,61.0744429586837
"China","Policy","nuclearFuelGenIII",2085,0.359437,55.6487584048998
"China","Policy","nuclearFuelGenIII",2090,0.337623,51.9133278696843
"China","Policy","nuclearFuelGenIII",2095,0.207521,32.2182046262213
"China","Policy","nuclearFuelGenIII",2100,0.119519,19.0837732282057
"China","Policy","regional coal",1990,0,0
"China","Policy","regional coal",2005,0,0
"China","Policy","regional coal",2010,0,0
"China","Policy","regional coal",2015,0,0
"China","Policy","regional coal",2020,-2.00000000005751e-06,-0.00017132543352252
"China","Policy","regional coal",2025,0.00176299999999996,0.140737470732909
