region,Name,sector,subsector,technology,year,Difference,Rel_Dif
China,Policy,electricity,biomass,biomass (conv CCS),1990,0,NA
China,Policy,electricity,biomass,biomass (conv CCS),2005,0,NA
China,Policy,electricity,biomass,biomass (conv CCS),2010,0,NA
China,Policy,electricity,biomass,biomass (conv CCS),2015,0,NA
China,Policy,electricity,biomass,biomass (conv CCS),2020,0,NA
China,Policy,electricity,biomass,biomass (conv CCS),2025,-0.00070352,-3.0657567
China,Policy,electricity,biomass,biomass (conv CCS),2030,-0.004458816,-11.49939425
China,Policy,electricity,biomass,biomass (conv CCS),2035,1.954331753,2402.2751
China,Policy,electricity,biomass,biomass (conv CCS),2040,3.55324706,1980.38683
China,Policy,electricity,biomass,biomass (conv CCS),2045,5.753965318,1621.271227
China,Policy,electricity,biomass,biomass (conv CCS),2050,8.514747659,1475.109043
China,Policy,electricity,biomass,biomass (conv CCS),2055,10.84260892,1091.627157
China,Policy,electricity,biomass,biomass (conv CCS),2060,12.67947946,813.9840315
China,Policy,electricity,biomass,biomass (conv CCS),2065,12.80235145,558.3640283
China,Policy,electricity,biomass,biomass (conv CCS),2070,9.771250026,305.5882965
China,Policy,electricity,biomass,biomass (conv CCS),2075,6.934114935,165.6019768
China,Policy,electricity,biomass,biomass (conv CCS),2080,5.719488454,113.1984481
China,Policy,electricity,biomass,biomass (conv CCS),2085,5.757575384,93.38537103
China,Policy,electricity,biomass,biomass (conv CCS),2090,5.74909596,76.92015615
China,Policy,electricity,biomass,biomass (conv CCS),2095,6.232124052,69.38135907
China,Policy,electricity,biomass,biomass (conv CCS),2100,5.046559388,46.95583308
China,Policy,electricity,biomass,biomass (IGCC CCS),1990,0,NA
China,Policy,electricity,biomass,biomass (IGCC CCS),2005,0,NA
China,Policy,electricity,biomass,biomass (IGCC CCS),2010,0,NA
China,Policy,electricity,biomass,biomass (IGCC CCS),2015,0,NA
China,Policy,electricity,biomass,biomass (IGCC CCS),2020,0,NA
China,Policy,electricity,biomass,biomass (IGCC CCS),2025,-4.69E-06,-0.114591907
China,Policy,electricity,biomass,biomass (IGCC CCS),2030,-0.000378454,-4.348083442
China,Policy,electricity,biomass,biomass (IGCC CCS),2035,0.231545071,1275.753966
China,Policy,electricity,biomass,biomass (IGCC CCS),2040,0.447338757,1190.958976
China,Policy,electricity,biomass,biomass (IGCC CCS),2045,0.720274954,949.8948505
China,Policy,electricity,biomass,biomass (IGCC CCS),2050,0.95425956,750.0660963
China,Policy,electricity,biomass,biomass (IGCC CCS),2055,1.07403235,491.1213625
China,Policy,electricity,biomass,biomass (IGCC CCS),2060,1.12889766,331.1383956
China,Policy,electricity,biomass,biomass (IGCC CCS),2065,1.231885186,249.4466923
China,Policy,electricity,biomass,biomass (IGCC CCS),2070,1.103920039,161.5156659
China,Policy,electricity,biomass,biomass (IGCC CCS),2075,0.913551342,101.4554873
China,Policy,electricity,biomass,biomass (IGCC CCS),2080,0.778921289,71.09590779
China,Policy,electricity,biomass,biomass (IGCC CCS),2085,0.671636012,50.65731282
China,Policy,electricity,biomass,biomass (IGCC CCS),2090,0.56179074,35.96866449
China,Policy,electricity,biomass,biomass (IGCC CCS),2095,0.561747369,31.2927485
China,Policy,electricity,biomass,biomass (IGCC CCS),2100,0.40319585,19.78266332
China,Policy,electricity,coal,coal (conv pul CCS),1990,0,NA
China,Policy,electricity,coal,coal (conv pul CCS),2005,0,NA
China,Policy,electricity,coal,coal (conv pul CCS),2010,0,NA
China,Policy,electricity,coal,coal (conv pul CCS),2015,0,NA
China,Policy,electricity,coal,coal (conv pul CCS),2020,0,NA
China,Policy,electricity,coal,coal (conv pul CCS),2025,7.58E-05,0.030426547
China,Policy,electricity,coal,coal (conv pul CCS),2030,1.99E-05,0.004291797
China,Policy,electricity,coal,coal (conv pul CCS),2035,11.89171788,1551.557958
China,Policy,electricity,coal,coal (conv pul CCS),2040,20.50267801,1604.170824
China,Policy,electricity,coal,coal (conv pul CCS),2045,28.25477309,1291.613482
China,Policy,electricity,coal,coal (conv pul CCS),2050,32.9808783,1009.17082
China,Policy,electricity,coal,coal (conv pul CCS),2055,34.99448292,704.7214762
China,Policy,electricity,coal,coal (conv pul CCS),2060,35.89379882,520.9838247
China,Policy,electricity,coal,coal (conv pul CCS),2065,36.81330393,409.3218355
