region,scenario,sector,subsector,technology,year,cost
China,Reference,elect_td_bld,rooftop_pv,rooftop_pv,1990,17.9752
China,Reference,electricity,biomass,biomass (IGCC CCS),1990,15.0767
China,Reference,electricity,biomass,biomass (IGCC),1990,10.6652
China,Reference,electricity,biomass,biomass (conv CCS),1990,11.9115
China,Reference,electricity,biomass,biomass (conv),1990,12.5241
China,Reference,electricity,coal,coal (IGCC CCS),1990,11.3378
China,Reference,electricity,coal,coal (IGCC),1990,6.78304
China,Reference,electricity,coal,coal (conv pul CCS),1990,9.62776
China,Reference,electricity,coal,coal (conv pul),1990,7.16651
China,Reference,electricity,gas,gas (CC CCS),1990,4.01141
China,Reference,electricity,gas,gas (CC),1990,5.64794
China,Reference,electricity,gas,gas (steam/CT),1990,7.81367
China,Reference,electricity,geothermal,geothermal,1990,8.37072
China,Reference,electricity,nuclear,Gen_III,1990,9.00177
China,Reference,electricity,nuclear,Gen_II_LWR,1990,8.34046
China,Reference,electricity,refined liquids,refined liquids (CC CCS),1990,4.77598
China,Reference,electricity,refined liquids,refined liquids (CC),1990,1.71515
China,Reference,electricity,refined liquids,refined liquids (steam/CT),1990,8.76235
China,Reference,electricity,solar,CSP,1990,24.153
China,Reference,electricity,solar,CSP_storage,1990,19.7679
China,Reference,electricity,solar,PV,1990,12.0404
China,Reference,electricity,solar,PV_storage,1990,37.1922
China,Reference,electricity,wind,wind,1990,6.51845
China,Reference,electricity,wind,wind_offshore,1990,14.9541
China,Reference,electricity,wind,wind_storage,1990,21.6113
Taiwan,Reference,elect_td_bld,rooftop_pv,rooftop_pv,1990,22.0503
Taiwan,Reference,electricity,biomass,biomass (IGCC CCS),1990,15.0767
Taiwan,Reference,electricity,biomass,biomass (IGCC),1990,10.6652
Taiwan,Reference,electricity,biomass,biomass (conv CCS),1990,11.9115
Taiwan,Reference,electricity,biomass,biomass (conv),1990,6.73455
Taiwan,Reference,electricity,coal,coal (IGCC CCS),1990,11.3378
Taiwan,Reference,electricity,coal,coal (IGCC),1990,6.78304
Taiwan,Reference,electricity,coal,coal (conv pul CCS),1990,9.62776
Taiwan,Reference,electricity,coal,coal (conv pul),1990,7.25644
Taiwan,Reference,electricity,gas,gas (CC CCS),1990,4.01141
Taiwan,Reference,electricity,gas,gas (CC),1990,4.1787
Taiwan,Reference,electricity,gas,gas (steam/CT),1990,5.6181
Taiwan,Reference,electricity,geothermal,geothermal,1990,8.37869
Taiwan,Reference,electricity,nuclear,Gen_III,1990,9.00177
Taiwan,Reference,electricity,nuclear,Gen_II_LWR,1990,8.95402
Taiwan,Reference,electricity,refined liquids,refined liquids (CC CCS),1990,4.77598
Taiwan,Reference,electricity,refined liquids,refined liquids (CC),1990,1.71515
Taiwan,Reference,electricity,refined liquids,refined liquids (steam/CT),1990,8.63602
Taiwan,Reference,electricity,solar,CSP,1990,15.235
