"region","Name","output","subsector","technology","year","Difference","Rel_Dif"
"China","Policy","electricity","biomass","biomass (conv CCS)",1990,0,NA
"China","Policy","electricity","biomass","biomass (conv CCS)",2005,0,NA
"China","Policy","electricity","biomass","biomass (conv CCS)",2010,0,NA
"China","Policy","electricity","biomass","biomass (conv CCS)",2015,0,NA
"China","Policy","electricity","biomass","biomass (conv CCS)",2020,0,NA
"China","Policy","electricity","biomass","biomass (conv CCS)",2025,-4.93100000000001e-05,-3.1488269326556
"China","Policy","electricity","biomass","biomass (conv CCS)",2030,-0.00031741,-11.74492050042
"China","Policy","electricity","biomass","biomass (conv CCS)",2035,0.14395136,2474.39442798111
"China","Policy","electricity","biomass","biomass (conv CCS)",2040,0.2653868,2017.81298946184
"China","Policy","electricity","biomass","biomass (conv CCS)",2045,0.4375611,1646.76808087043
"China","Policy","electricity","biomass","biomass (conv CCS)",2050,0.6807683,1547.31673057297
"China","Policy","electricity","biomass","biomass (conv CCS)",2055,0.9565705,1266.98918535884
"China","Policy","electricity","biomass","biomass (conv CCS)",2060,1.242132,1036.85537321157
"China","Policy","electricity","biomass","biomass (conv CCS)",2065,1.277654,724.515441234845
"China","Policy","electricity","biomass","biomass (conv CCS)",2070,1.051461,429.765919095558
"China","Policy","electricity","biomass","biomass (conv CCS)",2075,0.826347,258.821447475985
"China","Policy","electricity","biomass","biomass (conv CCS)",2080,0.722318,187.497209546207
"China","Policy","electricity","biomass","biomass (conv CCS)",2085,0.736056,156.413307719769
"China","Policy","electricity","biomass","biomass (conv CCS)",2090,0.733595,128.328274921063
"China","Policy","electricity","biomass","biomass (conv CCS)",2095,0.76813,111.303831217759
"China","Policy","electricity","biomass","biomass (conv CCS)",2100,0.67012,80.0630831909581
"China","Policy","electricity","biomass","biomass (IGCC CCS)",1990,0,NA
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2005,0,NA
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2010,0,NA
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2015,0,NA
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2020,0,NA
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2025,-2.08999999999995e-06,-0.168201133144472
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2030,-0.00012027,-4.45645810329112
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2035,0.07680986,1329.38710660039
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2040,0.1508693,1226.50987342184
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2045,0.2486751,975.009115895377
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2050,0.3464503,793.542409645729
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2055,0.425684,566.272464847751
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2060,0.494552,416.721015866596
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2065,0.547819,317.946708918798
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2070,0.514551,216.821945515454
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2075,0.460038,147.861330384922
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2080,0.417339,110.428468990043
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2085,0.38269,83.5996635828427
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2090,0.342235,63.2777167622576
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2095,0.340011,54.4002803123755
"China","Policy","electricity","biomass","biomass (IGCC CCS)",2100,0.27849,38.8089069988141
"China","Policy","electricity","coal","coal (conv pul CCS)",1990,0,NA
"China","Policy","electricity","coal","coal (conv pul CCS)",2005,0,NA
"China","Policy","electricity","coal","coal (conv pul CCS)",2010,0,NA
"China","Policy","electricity","coal","coal (conv pul CCS)",2015,0,NA
"China","Policy","electricity","coal","coal (conv pul CCS)",2020,0,NA
"China","Policy","electricity","coal","coal (conv pul CCS)",2025,-3.40000000000062e-06,-0.0184570953960438
"China","Policy","electricity","coal","coal (conv pul CCS)",2030,1.00000000000031e-05,0.0280104198762025
"China","Policy","electricity","coal","coal (conv pul CCS)",2035,1.0167501,1639.6576998189
"China","Policy","electricity","coal","coal (conv pul CCS)",2040,1.795219,1644.41014555147
