"region","scenario","output","subsector","technology","year","gen"
"China","Reference","electricity","biomass","biomass (IGCC CCS)","1990",0
"China","Reference","electricity","biomass","biomass (IGCC)","1990",0
"China","Reference","electricity","biomass","biomass (conv CCS)","1990",0
"China","Reference","electricity","biomass","biomass (conv)","1990",1.44587e-06
"China","Reference","electricity","coal","coal (IGCC CCS)","1990",0
"China","Reference","electricity","coal","coal (IGCC)","1990",0
"China","Reference","electricity","coal","coal (conv pul CCS)","1990",0
"China","Reference","electricity","coal","coal (conv pul)","1990",1.69114
"China","Reference","electricity","gas","gas (CC CCS)","1990",0
"China","Reference","electricity","gas","gas (CC)","1990",0.00690798
"China","Reference","electricity","gas","gas (steam/CT)","1990",0.00306761
"China","Reference","electricity","gas","gas cogen","1990",0
"China","Reference","electricity","geothermal","geothermal","1990",0.0002052
"China","Reference","electricity","hydro","hydro","1990",0.456446
"China","Reference","electricity","hydrogen","hydrogen cogen","1990",0
"China","Reference","electricity","nuclear","Gen_III","1990",0
"China","Reference","electricity","nuclear","Gen_II_LWR","1990",0
"China","Reference","electricity","refined liquids","refined liquids (CC CCS)","1990",0
"China","Reference","electricity","refined liquids","refined liquids (CC)","1990",0
"China","Reference","electricity","refined liquids","refined liquids (steam/CT)","1990",0.183376
"China","Reference","elect_td_bld","rooftop_pv","rooftop_pv","1990",0
"China","Reference","electricity","solar","CSP","1990",0
"China","Reference","electricity","solar","CSP_storage","1990",0
"China","Reference","electricity","solar","PV","1990",7.19999e-06
"China","Reference","electricity","solar","PV_storage","1990",0
"China","Reference","electricity","wind","wind","1990",7.19999e-06
"China","Reference","electricity","wind","wind_offshore","1990",0
"China","Reference","electricity","wind","wind_storage","1990",0
"Taiwan","Reference","electricity","biomass","biomass (IGCC CCS)","1990",0
"Taiwan","Reference","electricity","biomass","biomass (IGCC)","1990",0
"Taiwan","Reference","electricity","biomass","biomass (conv CCS)","1990",0
"Taiwan","Reference","electricity","biomass","biomass (conv)","1990",0
"Taiwan","Reference","electricity","coal","coal (IGCC CCS)","1990",0
"Taiwan","Reference","electricity","coal","coal (IGCC)","1990",0
"Taiwan","Reference","electricity","coal","coal (conv pul CCS)","1990",0
"Taiwan","Reference","electricity","coal","coal (conv pul)","1990",0.07806
"Taiwan","Reference","electricity","coal","coal cogen","1990",0.0100818
"Taiwan","Reference","electricity","gas","gas (CC CCS)","1990",0
"Taiwan","Reference","electricity","gas","gas (CC)","1990",0.0020986
"Taiwan","Reference","electricity","gas","gas (steam/CT)","1990",0.00162746
"Taiwan","Reference","electricity","gas","gas cogen","1990",0.000751783
"Taiwan","Reference","electricity","geothermal","geothermal","1990",1.08002e-05
"Taiwan","Reference","electricity","hydro","hydro","1990",0.0229716
"Taiwan","Reference","electricity","hydrogen","hydrogen cogen","1990",0
"Taiwan","Reference","electricity","nuclear","Gen_III","1990",0
"Taiwan","Reference","electricity","nuclear","Gen_II_LWR","1990",0.118319
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC CCS)","1990",0
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC)","1990",0
"Taiwan","Reference","electricity","refined liquids","refined liquids (steam/CT)","1990",0.0780744
"Taiwan","Reference","electricity","refined liquids","refined liquids cogen","1990",0.00623675
"Taiwan","Reference","elect_td_bld","rooftop_pv","rooftop_pv","1990",0
"Taiwan","Reference","electricity","solar","CSP","1990",0
"Taiwan","Reference","electricity","solar","CSP_storage","1990",0
"Taiwan","Reference","electricity","solar","PV","1990",0
"Taiwan","Reference","electricity","solar","PV_storage","1990",0
"Taiwan","Reference","electricity","wind","wind","1990",0
"Taiwan","Reference","electricity","wind","wind_offshore","1990",0
"Taiwan","Reference","electricity","wind","wind_storage","1990",0
"China","Reference","electricity","biomass","biomass (IGCC CCS)","2005",0
"China","Reference","electricity","biomass","biomass (IGCC)","2005",0
"China","Reference","electricity","biomass","biomass (conv CCS)","2005",0
"China","Reference","electricity","biomass","biomass (conv)","2005",0.01872
"China","Reference","electricity","coal","coal (IGCC CCS)","2005",0
"China","Reference","electricity","coal","coal (IGCC)","2005",0
"China","Reference","electricity","coal","coal (conv pul CCS)","2005",0
"China","Reference","electricity","coal","coal (conv pul)","2005",7.22629
"China","Reference","electricity","gas","gas (CC CCS)","2005",0
"China","Reference","electricity","gas","gas (CC)","2005",0.0341543
"China","Reference","electricity","gas","gas (steam/CT)","2005",0.05015
"China","Reference","electricity","gas","gas cogen","2005",0
"China","Reference","electricity","geothermal","geothermal","2005",0.000413999
"China","Reference","electricity","hydro","hydro","2005",1.42964
"China","Reference","electricity","hydrogen","hydrogen cogen","2005",0
"China","Reference","electricity","nuclear","Gen_III","2005",0
"China","Reference","electricity","nuclear","Gen_II_LWR","2005",0.191116
"China","Reference","electricity","refined liquids","refined liquids (CC CCS)","2005",0
"China","Reference","electricity","refined liquids","refined liquids (CC)","2005",0
"China","Reference","electricity","refined liquids","refined liquids (steam/CT)","2005",0.182675
"China","Reference","elect_td_bld","rooftop_pv","rooftop_pv","2005",0
"China","Reference","electricity","solar","CSP","2005",0
"China","Reference","electricity","solar","CSP_storage","2005",0
"China","Reference","electricity","solar","PV","2005",0.000310299
"China","Reference","electricity","solar","PV_storage","2005",0
"China","Reference","electricity","wind","wind","2005",0.00730148
"China","Reference","electricity","wind","wind_offshore","2005",0
"China","Reference","electricity","wind","wind_storage","2005",0
"Taiwan","Reference","electricity","biomass","biomass (IGCC CCS)","2005",0
"Taiwan","Reference","electricity","biomass","biomass (IGCC)","2005",0
"Taiwan","Reference","electricity","biomass","biomass (conv CCS)","2005",0
"Taiwan","Reference","electricity","biomass","biomass (conv)","2005",0.0118312
"Taiwan","Reference","electricity","coal","coal (IGCC CCS)","2005",0
"Taiwan","Reference","electricity","coal","coal (IGCC)","2005",0
"Taiwan","Reference","electricity","coal","coal (conv pul CCS)","2005",0
"Taiwan","Reference","electricity","coal","coal (conv pul)","2005",0.333203
"Taiwan","Reference","electricity","coal","coal cogen","2005",0.116345
"Taiwan","Reference","electricity","gas","gas (CC CCS)","2005",0
"Taiwan","Reference","electricity","gas","gas (CC)","2005",0.114559
"Taiwan","Reference","electricity","gas","gas (steam/CT)","2005",0.0156849
"Taiwan","Reference","electricity","gas","gas cogen","2005",0.00285039
"Taiwan","Reference","electricity","geothermal","geothermal","2005",0
"Taiwan","Reference","electricity","hydro","hydro","2005",0.0143496
"Taiwan","Reference","electricity","hydrogen","hydrogen cogen","2005",0
"Taiwan","Reference","electricity","nuclear","Gen_III","2005",0
"Taiwan","Reference","electricity","nuclear","Gen_II_LWR","2005",0.143918
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC CCS)","2005",0
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC)","2005",0
"Taiwan","Reference","electricity","refined liquids","refined liquids (steam/CT)","2005",0.0395549
"Taiwan","Reference","electricity","refined liquids","refined liquids cogen","2005",0.0154824
"Taiwan","Reference","elect_td_bld","rooftop_pv","rooftop_pv","2005",0
"Taiwan","Reference","electricity","solar","CSP","2005",0
"Taiwan","Reference","electricity","solar","CSP_storage","2005",0
"Taiwan","Reference","electricity","solar","PV","2005",3.60048e-06
"Taiwan","Reference","electricity","solar","PV_storage","2005",0
"Taiwan","Reference","electricity","wind","wind","2005",0.000327643
"Taiwan","Reference","electricity","wind","wind_offshore","2005",0
"Taiwan","Reference","electricity","wind","wind_storage","2005",0
"China","Reference","electricity","biomass","biomass (IGCC CCS)","2010",0
"China","Reference","electricity","biomass","biomass (IGCC)","2010",0
"China","Reference","electricity","biomass","biomass (conv CCS)","2010",0
"China","Reference","electricity","biomass","biomass (conv)","2010",0.121906
"China","Reference","electricity","coal","coal (IGCC CCS)","2010",0
"China","Reference","electricity","coal","coal (IGCC)","2010",0
"China","Reference","electricity","coal","coal (conv pul CCS)","2010",0
"China","Reference","electricity","coal","coal (conv pul)","2010",11.7486
"China","Reference","electricity","gas","gas (CC CCS)","2010",0
"China","Reference","electricity","gas","gas (CC)","2010",0
"China","Reference","electricity","gas","gas (steam/CT)","2010",0.3329
"China","Reference","electricity","gas","gas cogen","2010",0.000331568
"China","Reference","electricity","geothermal","geothermal","2010",0.000449999
"China","Reference","electricity","hydro","hydro","2010",2.56154
"China","Reference","electricity","hydrogen","hydrogen cogen","2010",0
"China","Reference","electricity","nuclear","Gen_III","2010",0
"China","Reference","electricity","nuclear","Gen_II_LWR","2010",0.265967
"China","Reference","electricity","refined liquids","refined liquids (CC CCS)","2010",0
"China","Reference","electricity","refined liquids","refined liquids (CC)","2010",0
"China","Reference","electricity","refined liquids","refined liquids (steam/CT)","2010",0.0541114
"China","Reference","elect_td_bld","rooftop_pv","rooftop_pv","2010",0
"China","Reference","electricity","solar","CSP","2010",7.19998e-06
"China","Reference","electricity","solar","CSP_storage","2010",0
"China","Reference","electricity","solar","PV","2010",0.00252469
"China","Reference","electricity","solar","PV_storage","2010",0
"China","Reference","electricity","wind","wind","2010",0.160645
"China","Reference","electricity","wind","wind_offshore","2010",0
"China","Reference","electricity","wind","wind_storage","2010",0
"Taiwan","Reference","electricity","biomass","biomass (IGCC CCS)","2010",0
"Taiwan","Reference","electricity","biomass","biomass (IGCC)","2010",0
"Taiwan","Reference","electricity","biomass","biomass (conv CCS)","2010",0
"Taiwan","Reference","electricity","biomass","biomass (conv)","2010",0.0131472
"Taiwan","Reference","electricity","coal","coal (IGCC CCS)","2010",0
"Taiwan","Reference","electricity","coal","coal (IGCC)","2010",0
"Taiwan","Reference","electricity","coal","coal (conv pul CCS)","2010",0
"Taiwan","Reference","electricity","coal","coal (conv pul)","2010",0.340766
"Taiwan","Reference","electricity","coal","coal cogen","2010",0.112774
"Taiwan","Reference","electricity","gas","gas (CC CCS)","2010",0
"Taiwan","Reference","electricity","gas","gas (CC)","2010",0.128459
"Taiwan","Reference","electricity","gas","gas (steam/CT)","2010",0.0761689
"Taiwan","Reference","electricity","gas","gas cogen","2010",0.001802
"Taiwan","Reference","electricity","geothermal","geothermal","2010",0
"Taiwan","Reference","electricity","hydro","hydro","2010",0.0150984
"Taiwan","Reference","electricity","hydrogen","hydrogen cogen","2010",0
"Taiwan","Reference","electricity","nuclear","Gen_III","2010",0
"Taiwan","Reference","electricity","nuclear","Gen_II_LWR","2010",0.149865
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC CCS)","2010",0
"Taiwan","Reference","electricity","refined liquids","refined liquids (CC)","2010",0
"Taiwan","Reference","electricity","refined liquids","refined liquids (steam/CT)","2010",0.0298225
"Taiwan","Reference","electricity","refined liquids","refined liquids cogen","2010",0.00922986
"Taiwan","Reference","elect_td_bld","rooftop_pv","rooftop_pv","2010",0
