"region","scenario","fuel","year","Primary_Energy"
"China","Reference","biomass","1990",0.000705038
"China","Reference","biomass","2005",0.3187026
"China","Reference","biomass","2010",1.0037661
"China","Reference","biomass","2015",1.4929142
"China","Reference","biomass","2020",2.5386563
"China","Reference","biomass","2025",3.6736298
"China","Reference","biomass","2030",4.48966136
"China","Reference","biomass","2035",5.79694869
"China","Reference","biomass","2040",7.43716605
"China","Reference","biomass","2045",8.76834741
"China","Reference","biomass","2050",9.86374797
"China","Reference","biomass","2055",10.43465638
"China","Reference","biomass","2060",10.57332574
"China","Reference","biomass","2065",10.560235567
"China","Reference","biomass","2070",10.311786312
"China","Reference","biomass","2075",10.058485137
"China","Reference","biomass","2080",9.847866647
"China","Reference","biomass","2085",9.916785342
"China","Reference","biomass","2090",10.257996658
"China","Reference","biomass","2095",10.91354143
"China","Reference","biomass","2100",11.913996423
"China","Reference","biomass_traditional","1990",8.3941
"China","Reference","biomass_traditional","2005",6.78429
"China","Reference","biomass_traditional","2010",4.68404
"China","Reference","biomass_traditional","2015",3.38022
"China","Reference","biomass_traditional","2020",2.91418
"China","Reference","biomass_traditional","2025",2.35433
"China","Reference","biomass_traditional","2030",1.872141
"China","Reference","biomass_traditional","2035",1.672853
"China","Reference","biomass_traditional","2040",1.567819
"China","Reference","biomass_traditional","2045",1.445358
"China","Reference","biomass_traditional","2050",1.322284
"China","Reference","biomass_traditional","2055",1.194646
"China","Reference","biomass_traditional","2060",1.065381
"China","Reference","biomass_traditional","2065",0.945202
"China","Reference","biomass_traditional","2070",0.837512
"China","Reference","biomass_traditional","2075",0.737558
"China","Reference","biomass_traditional","2080",0.64735
"China","Reference","biomass_traditional","2085",0.571625
"China","Reference","biomass_traditional","2090",0.509801
"China","Reference","biomass_traditional","2095",0.466656
"China","Reference","biomass_traditional","2100",0.433459
"China","Reference","coal","1990",21.0223
"China","Reference","coal","2005",58.16152
"China","Reference","coal","2010",81.8696
"China","Reference","coal","2015",92.9578
"China","Reference","coal","2020",100.1873
"China","Reference","coal","2025",106.7851
"China","Reference","coal","2030",107.7909
"China","Reference","coal","2035",102.4493
"China","Reference","coal","2040",94.4402
"China","Reference","coal","2045",84.6452
"China","Reference","coal","2050",74.5822
