region,Name,fuel,year,Difference,Rel_Dif
China,Policy,biomass,1990,0,0
China,Policy,biomass,2005,0,0
China,Policy,biomass,2010,0,0
China,Policy,biomass,2015,0,0
China,Policy,biomass,2020,2.00E-05,0.000787818
China,Policy,biomass,2025,-0.1561843,-4.251498069
China,Policy,biomass,2030,-0.46417166,-10.33867864
China,Policy,biomass,2035,0.70247451,12.11800462
China,Policy,biomass,2040,0.18682226,2.512008724
China,Policy,biomass,2045,1.02776089,11.72126105
China,Policy,biomass,2050,4.31246225,43.72032075
China,Policy,biomass,2055,9.78382,93.76274257
China,Policy,biomass,2060,14.72634787,139.2782955
China,Policy,biomass,2065,14.46173902,136.9452313
China,Policy,biomass,2070,13.23828322,128.3801159
China,Policy,biomass,2075,11.89418336,118.2502455
China,Policy,biomass,2080,10.29102009,104.4999943
China,Policy,biomass,2085,8.317844923,83.87642402
China,Policy,biomass,2090,5.919726272,57.70840515
China,Policy,biomass,2095,4.15031027,38.02899633
China,Policy,biomass,2100,2.557474897,21.46613786
China,Policy,biomass_traditional,1990,0,0
China,Policy,biomass_traditional,2005,0,0
China,Policy,biomass_traditional,2010,0,0
China,Policy,biomass_traditional,2015,0,0
China,Policy,biomass_traditional,2020,0,0
China,Policy,biomass_traditional,2025,-0.00832,-0.353391411
China,Policy,biomass_traditional,2030,-0.012084,-0.645464204
China,Policy,biomass_traditional,2035,0.747116,44.66118661
China,Policy,biomass_traditional,2040,0.733832,46.80591318
China,Policy,biomass_traditional,2045,0.730658,50.55204316
China,Policy,biomass_traditional,2050,0.780362,59.01621739
China,Policy,biomass_traditional,2055,0.767886,64.27728381
China,Policy,biomass_traditional,2060,0.683984,64.20088213
China,Policy,biomass_traditional,2065,0.346392,36.64740447
China,Policy,biomass_traditional,2070,0.189845,22.66773491
China,Policy,biomass_traditional,2075,0.120081,16.2808891
China,Policy,biomass_traditional,2080,0.088215,13.62709508
China,Policy,biomass_traditional,2085,0.071033,12.42650339
China,Policy,biomass_traditional,2090,0.049757,9.760082856
China,Policy,biomass_traditional,2095,0.025681,5.503197216
China,Policy,biomass_traditional,2100,0.0019999,0.461381584
China,Policy,coal,1990,0,0
China,Policy,coal,2005,0,0
China,Policy,coal,2010,0,0
China,Policy,coal,2015,0,0
China,Policy,coal,2020,0.0001,9.98E-05
China,Policy,coal,2025,-1.0197,-0.954908503
China,Policy,coal,2030,-0.966,-0.896179548
China,Policy,coal,2035,-12.6375,-12.33536979
China,Policy,coal,2040,-17.7465,-18.79125627
China,Policy,coal,2045,-21.9578,-25.94098661
China,Policy,coal,2050,-22.4237,-30.06575295
China,Policy,coal,2055,-17.8581,-27.68916612
China,Policy,coal,2060,-12.4924,-22.49703309
China,Policy,coal,2065,-6.6646,-13.87264708
China,Policy,coal,2070,-5.0097,-11.99201442
China,Policy,coal,2075,-1.7374,-4.762335502
China,Policy,coal,2080,0.2636,0.810565643
China,Policy,coal,2085,1.9556,6.701896517
China,Policy,coal,2090,4.3304,16.8185243
China,Policy,coal,2095,6.1917,26.67640368
China,Policy,coal,2100,6.7691,31.70494091
China,Policy,geothermal,1990,0,0
China,Policy,geothermal,2005,0,0
China,Policy,geothermal,2010,0,0
China,Policy,geothermal,2015,0,0
China,Policy,geothermal,2020,2.34E-09,1.50E-06
China,Policy,geothermal,2025,-0.000100551,-0.03331494
China,Policy,geothermal,2030,-0.000268684,-0.091098494
China,Policy,geothermal,2035,-0.00460147,-1.592145583
China,Policy,geothermal,2040,-0.008210413,-2.898403329
China,Policy,geothermal,2045,-0.011238619,-4.062961153
China,Policy,geothermal,2050,-0.009590104,-3.550937298
China,Policy,geothermal,2055,-0.003070305,-1.168352207
China,Policy,geothermal,2060,0.003610355,1.410663365
China,Policy,geothermal,2065,0.006441078,2.573026957
China,Policy,geothermal,2070,0.009163519,3.735968884
China,Policy,geothermal,2075,0.012181136,5.071747511
China,Policy,geothermal,2080,0.017710253,7.536741642
China,Policy,geothermal,2085,0.02295882,9.945742647
China,Policy,geothermal,2090,0.026447101,11.56207326
China,Policy,geothermal,2095,0.021380838,9.372439708
China,Policy,geothermal,2100,0.017470215,7.658491747
China,Policy,hydro,1990,0,0
China,Policy,hydro,2005,0,0
China,Policy,hydro,2010,0,0
China,Policy,hydro,2015,0,0
China,Policy,hydro,2020,1.65E-07,1.50E-06
China,Policy,hydro,2025,-0.003589235,-0.033494477
China,Policy,hydro,2030,-0.009572246,-0.091415802
China,Policy,hydro,2035,-0.143734402,-1.400649716
China,Policy,hydro,2040,-0.278342217,-2.766779094
China,Policy,hydro,2045,-0.39035135,-3.972299637
China,Policy,hydro,2050,-0.335178632,-3.492945944
China,Policy,hydro,2055,-0.108193109,-1.158337344
