region,Scen_Label,fuel,year,CI_mean,,
China,Policy,biomass,1990,0.000705038,,
China,Policy,biomass,2005,0.3187026,,
China,Policy,biomass,2010,1.0037661,,
China,Policy,biomass,2015,1.4929142,,
China,Policy,biomass,2020,2.5386763,,
China,Policy,biomass,2025,3.5174455,,
China,Policy,biomass,2030,4.0254897,,
China,Policy,biomass,2035,6.4994232,,
China,Policy,biomass,2040,7.62398831,,
China,Policy,biomass,2045,9.7961083,,
China,Policy,biomass,2050,14.17621022,,
China,Policy,biomass,2055,20.21847638,,
China,Policy,biomass,2060,25.29967361,,
China,Policy,biomass,2065,25.02197459,,
China,Policy,biomass,2070,23.55006953,,
China,Policy,biomass,2075,21.9526685,,
China,Policy,biomass,2080,20.13888674,,
China,Policy,biomass,2085,18.23463027,,
China,Policy,biomass,2090,16.17772293,,
China,Policy,biomass,2095,15.0638517,,
China,Policy,biomass,2100,14.47147132,,
China,Policy,biomass_traditional,1990,8.3941,,
China,Policy,biomass_traditional,2005,6.78429,,
China,Policy,biomass_traditional,2010,4.68404,,
China,Policy,biomass_traditional,2015,3.38022,,
China,Policy,biomass_traditional,2020,2.91418,,
China,Policy,biomass_traditional,2025,2.34601,,
China,Policy,biomass_traditional,2030,1.860057,,
China,Policy,biomass_traditional,2035,2.419969,,
China,Policy,biomass_traditional,2040,2.301651,,
China,Policy,biomass_traditional,2045,2.176016,,
China,Policy,biomass_traditional,2050,2.102646,,
China,Policy,biomass_traditional,2055,1.962532,,
China,Policy,biomass_traditional,2060,1.749365,,
China,Policy,biomass_traditional,2065,1.291594,,
China,Policy,biomass_traditional,2070,1.027357,,
China,Policy,biomass_traditional,2075,0.857639,,
China,Policy,biomass_traditional,2080,0.735565,,
China,Policy,biomass_traditional,2085,0.642658,,
China,Policy,biomass_traditional,2090,0.559558,,
China,Policy,biomass_traditional,2095,0.492337,,
China,Policy,biomass_traditional,2100,0.4354589,,
China,Policy,coal,1990,21.0223,36.62308299,57.40177584
China,Policy,coal,2005,58.16152,80.18881955,72.5307098
China,Policy,coal,2010,81.8696,112.0492287,73.06574166
China,Policy,coal,2015,92.9578,134.5661045,69.07965446
China,Policy,coal,2020,100.1874,152.3999571,65.73978228
China,Policy,coal,2025,105.7654,169.4322114,62.42343124
China,Policy,coal,2030,106.8249,183.1774325,58.31771881
China,Policy,coal,2035,89.8118,189.7942811,47.32060392
China,Policy,coal,2040,76.6937,192.6648341,39.80679731
China,Policy,coal,2045,62.6874,193.7820776,32.34943127
China,Policy,coal,2050,52.1585,198.95638,26.21604796
China,Policy,coal,2055,46.6368,210.6677043,22.13761249
China,Policy,coal,2060,43.0367,223.401262,19.26430478
China,Policy,coal,2065,41.3767,221.3078732,18.69644284
China,Policy,coal,2070,36.7656,216.691824,16.96676844
China,Policy,coal,2075,34.7447,210.3262936,16.5194277
China,Policy,coal,2080,32.7841,203.5563648,16.10566195
China,Policy,coal,2085,31.1354,196.444118,15.84949467
China,Policy,coal,2090,30.0782,189.0283245,15.91200688
China,Policy,coal,2095,29.4021,178.0763164,16.51095474
China,Policy,coal,2100,28.1194,168.9556207,16.64306869
China,Policy,geothermal,1990,0.00068557,,
China,Policy,geothermal,2005,0.001358778,,
China,Policy,geothermal,2010,0.001318116,,
China,Policy,geothermal,2015,0.001263702,,
China,Policy,geothermal,2020,0.155622072,,
China,Policy,geothermal,2025,0.301720068,,
China,Policy,geothermal,2030,0.294669532,,
China,Policy,geothermal,2035,0.284409138,,
China,Policy,geothermal,2040,0.275063238,,
China,Policy,geothermal,2045,0.26537291,,
China,Policy,geothermal,2050,0.260482359,,
China,Policy,geothermal,2055,0.259719059,,
China,Policy,geothermal,2060,0.259543513,,
China,Policy,geothermal,2065,0.256771827,,
China,Policy,geothermal,2070,0.254441774,,
China,Policy,geothermal,2075,0.252357439,,
China,Policy,geothermal,2080,0.252695796,,
China,Policy,geothermal,2085,0.253799497,,
China,Policy,geothermal,2090,0.25518723,,
China,Policy,geothermal,2095,0.249505415,,
China,Policy,geothermal,2100,0.245585816,,
China,Policy,hydro,1990,1.524979268,,
China,Policy,hydro,2005,4.692195109,,
China,Policy,hydro,2010,7.503141985,,
China,Policy,hydro,2015,11.26977115,,
China,Policy,hydro,2020,10.97580391,,
China,Policy,hydro,2025,10.71231138,,
China,Policy,hydro,2030,10.46153398,,
China,Policy,hydro,2035,10.1182462,,
China,Policy,hydro,2040,9.781811052,,
China,Policy,hydro,2045,9.436484118,,
China,Policy,hydro,2050,9.260693661,,
China,Policy,hydro,2055,9.232186824,,
China,Policy,hydro,2060,9.225715432,,
China,Policy,hydro,2065,9.131031754,,
China,Policy,hydro,2070,9.043314458,,
China,Policy,hydro,2075,8.968705242,,
China,Policy,hydro,2080,8.978458676,,
China,Policy,hydro,2085,9.016060658,,
China,Policy,hydro,2090,9.064705806,,
China,Policy,hydro,2095,8.874749837,,
China,Policy,hydro,2100,8.731192471,,
China,Policy,natural gas,1990,0.475345,,
China,Policy,natural gas,2005,1.49765,,
China,Policy,natural gas,2010,4.310694,,
China,Policy,natural gas,2015,6.47683,,
China,Policy,natural gas,2020,8.09937,,
China,Policy,natural gas,2025,9.26123,,
China,Policy,natural gas,2030,10.59666,,
China,Policy,natural gas,2035,12.11778,,
