"region","scenario","Scen_Label","year","primary_consumption"
"China","Policy","Policy",1990,36.623082985445
"China","Policy","Policy",2005,80.1888195506782
"China","Policy","Policy",2010,112.049228742113
"China","Policy","Policy",2015,134.566104486051
"China","Policy","Policy",2020,152.399957117647
"China","Policy","Policy",2025,169.43221143065
"China","Policy","Policy",2030,183.177432484665
"China","Policy","Policy",2035,189.794281068552
"China","Policy","Policy",2040,192.664834120464
"China","Policy","Policy",2045,193.782077560623
"China","Policy","Policy",2050,198.956380001356
"China","Policy","Policy",2055,210.667704252181
"China","Policy","Policy",2060,223.401262027767
"China","Policy","Policy",2065,221.307873163506
"China","Policy","Policy",2070,216.691823962961
"China","Policy","Policy",2075,210.326293615449
"China","Policy","Policy",2080,203.556364839441
"China","Policy","Policy",2085,196.44411795608
"China","Policy","Policy",2090,189.028324506104
"China","Policy","Policy",2095,178.076316384118
"China","Policy","Policy",2100,168.955620687607
"China","Policy_CI_GFDL","Policy_CI",1990,36.623082985445
"China","Policy_CI_GFDL","Policy_CI",2005,80.1888195506782
"China","Policy_CI_GFDL","Policy_CI",2010,112.049228742113
"China","Policy_CI_GFDL","Policy_CI",2015,134.566104486051
"China","Policy_CI_GFDL","Policy_CI",2020,151.965821443953
"China","Policy_CI_GFDL","Policy_CI",2025,169.095708058025
"China","Policy_CI_GFDL","Policy_CI",2030,182.933455294608
"China","Policy_CI_GFDL","Policy_CI",2035,189.590918192545
"China","Policy_CI_GFDL","Policy_CI",2040,192.687646254948
"China","Policy_CI_GFDL","Policy_CI",2045,194.093428411338
"China","Policy_CI_GFDL","Policy_CI",2050,199.410492613223
"China","Policy_CI_GFDL","Policy_CI",2055,211.053727365792
"China","Policy_CI_GFDL","Policy_CI",2060,223.713393321371
"China","Policy_CI_GFDL","Policy_CI",2065,221.705070653027
"China","Policy_CI_GFDL","Policy_CI",2070,216.972403811416
"China","Policy_CI_GFDL","Policy_CI",2075,210.642270229957
"China","Policy_CI_GFDL","Policy_CI",2080,203.752298939757
"China","Policy_CI_GFDL","Policy_CI",2085,196.657101798919
"China","Policy_CI_GFDL","Policy_CI",2090,189.158786797429
"China","Policy_CI_GFDL","Policy_CI",2095,177.987427584611
"China","Policy_CI_GFDL","Policy_CI",2100,168.961982222668
"China","Policy_CI_HadGEM","Policy_CI",1990,36.623082985445
"China","Policy_CI_HadGEM","Policy_CI",2005,80.1888195506782
"China","Policy_CI_HadGEM","Policy_CI",2010,112.049228742113
"China","Policy_CI_HadGEM","Policy_CI",2015,134.566104486051
"China","Policy_CI_HadGEM","Policy_CI",2020,151.968272336978
"China","Policy_CI_HadGEM","Policy_CI",2025,169.104512224018
"China","Policy_CI_HadGEM","Policy_CI",2030,182.948623422922
"China","Policy_CI_HadGEM","Policy_CI",2035,189.615541248786
"China","Policy_CI_HadGEM","Policy_CI",2040,192.737516045205
"China","Policy_CI_HadGEM","Policy_CI",2045,194.210328441295
"China","Policy_CI_HadGEM","Policy_CI",2050,199.651313103093
"China","Policy_CI_HadGEM","Policy_CI",2055,211.333478117813
"China","Policy_CI_HadGEM","Policy_CI",2060,224.048293207099
"China","Policy_CI_HadGEM","Policy_CI",2065,222.005042477682
"China","Policy_CI_HadGEM","Policy_CI",2070,217.444487382125
"China","Policy_CI_HadGEM","Policy_CI",2075,211.079213115565
"China","Policy_CI_HadGEM","Policy_CI",2080,204.185781188466
"China","Policy_CI_HadGEM","Policy_CI",2085,197.151821077925
"China","Policy_CI_HadGEM","Policy_CI",2090,189.821646087538
"China","Policy_CI_HadGEM","Policy_CI",2095,178.528988172903
"China","Policy_CI_HadGEM","Policy_CI",2100,169.106171953638
"China","Policy_CI_IPSL","Policy_CI",1990,36.623082985445
"China","Policy_CI_IPSL","Policy_CI",2005,80.1888195506782
"China","Policy_CI_IPSL","Policy_CI",2010,112.049228742113
"China","Policy_CI_IPSL","Policy_CI",2015,134.566104486051
"China","Policy_CI_IPSL","Policy_CI",2020,151.96395870984
"China","Policy_CI_IPSL","Policy_CI",2025,169.08974756084
"China","Policy_CI_IPSL","Policy_CI",2030,182.909847385112
"China","Policy_CI_IPSL","Policy_CI",2035,189.506007770432
"China","Policy_CI_IPSL","Policy_CI",2040,192.502464655135
"China","Policy_CI_IPSL","Policy_CI",2045,193.850917525261
"China","Policy_CI_IPSL","Policy_CI",2050,199.217539933945
"China","Policy_CI_IPSL","Policy_CI",2055,210.943670217753
"China","Policy_CI_IPSL","Policy_CI",2060,223.72622785809
"China","Policy_CI_IPSL","Policy_CI",2065,221.83197882401
"China","Policy_CI_IPSL","Policy_CI",2070,217.278942806989
"China","Policy_CI_IPSL","Policy_CI",2075,210.921483978237
