"region","scenario","sector","year","Water_Withdrawal"
"China","Reference","agriculture","1990",199.57368008864
"China","Reference","agriculture","2005",226.628704882986
"China","Reference","agriculture","2010",262.174297943561
"China","Reference","agriculture","2015",285.003760224123
"China","Reference","agriculture","2020",288.812064896951
"China","Reference","agriculture","2025",295.045291920526
"China","Reference","agriculture","2030",295.11501108659
"China","Reference","agriculture","2035",292.490187242229
"China","Reference","agriculture","2040",288.809761931342
"China","Reference","agriculture","2045",284.093698563603
"China","Reference","agriculture","2050",278.131667711756
"China","Reference","agriculture","2055",273.21624619427
"China","Reference","agriculture","2060",267.456088539001
"China","Reference","agriculture","2065",261.725379055007
"China","Reference","agriculture","2070",255.992026509984
"China","Reference","agriculture","2075",250.575103584309
"China","Reference","agriculture","2080",244.97121498604
"China","Reference","agriculture","2085",239.096080230606
"China","Reference","agriculture","2090",233.193404617562
"China","Reference","agriculture","2095",227.43076375238
"China","Reference","agriculture","2100",222.086700141084
"China","Reference","electricity","1990",16.9695969881387
"China","Reference","electricity","2005",71.3675957536
"China","Reference","electricity","2010",78.107700993088
"China","Reference","electricity","2015",103.07266187777
"China","Reference","electricity","2020",110.13151050374
"China","Reference","electricity","2025",119.21600469898
"China","Reference","electricity","2030",124.601201758208
"China","Reference","electricity","2035",125.052666877526
"China","Reference","electricity","2040",121.483372758346
"China","Reference","electricity","2045",115.611278064226
"China","Reference","electricity","2050",106.316254482356
"China","Reference","electricity","2055",98.226343837583
"China","Reference","electricity","2060",91.2268338553451
"China","Reference","electricity","2065",86.9862753578641
"China","Reference","electricity","2070",85.339825992777
"China","Reference","electricity","2075",85.028430569098
"China","Reference","electricity","2080",82.7755669060085
"China","Reference","electricity","2085",82.6773966658384
"China","Reference","electricity","2090",83.6851638318714
"China","Reference","electricity","2095",85.4305898624692
"China","Reference","electricity","2100",87.5042186430477
"China","Reference","industry","1990",33.3152
"China","Reference","industry","2005",99.3557
"China","Reference","industry","2010",122.826
"China","Reference","industry","2015",113.753
"China","Reference","industry","2020",124.376
"China","Reference","industry","2025",135.109
"China","Reference","industry","2030",141.913
"China","Reference","industry","2035",143.885
"China","Reference","industry","2040",143.21
"China","Reference","industry","2045",141.024
