"region","scenario","sector","year","Water_Withdrawal"
"China","Reference","Beef","1990",1.5164089
"China","Reference","Corn","1990",13.0290376270785
"China","Reference","Dairy","1990",1.2171287
"China","Reference","FiberCrop","1990",6.5560687275
"China","Reference","MiscCrop","1990",4.9569064376
"China","Reference","OilCrop","1990",6.608434463
"China","Reference","OtherGrain","1990",1.105489019962
"China","Reference","Pork","1990",8.21336768
"China","Reference","Poultry","1990",0.0003138742816
"China","Reference","Rice","1990",80.8433661502
"China","Reference","RootTuber","1990",1.3684026293
"China","Reference","SheepGoat","1990",0.87611622
"China","Reference","SugarCrop","1990",0.848782984
"China","Reference","Wheat","1990",84.25719205
"China","Reference","biomass","1990",0
"China","Reference","elec_biomass (IGCC CCS)","1990",0
"China","Reference","elec_biomass (conv CCS)","1990",0
"China","Reference","elec_coal (IGCC CCS)","1990",0
"China","Reference","elec_coal (conv pul CCS)","1990",0
"China","Reference","elec_gas (CC CCS)","1990",0
"China","Reference","elec_refined liquids (CC CCS)","1990",0
"China","Reference","electricity","1990",16.9695969881387
"China","Reference","industry","1990",33.3152
"China","Reference","municipal water","1990",35
"China","Reference","nuclearFuelGenII","1990",0
"China","Reference","nuclearFuelGenIII","1990",0
"China","Reference","regional coal","1990",0.264346
"China","Reference","regional natural gas","1990",1.34421e-05
"China","Reference","regional oil","1990",0.756254
"Taiwan","Reference","Beef","1990",0.0018012044
"Taiwan","Reference","Dairy","1990",1.3533467e-06
"Taiwan","Reference","Pork","1990",0.1343924646
"Taiwan","Reference","Poultry","1990",8.31202912e-06
"Taiwan","Reference","SheepGoat","1990",3.34982243e-05
"Taiwan","Reference","elec_biomass (IGCC CCS)","1990",0
"Taiwan","Reference","elec_biomass (conv CCS)","1990",0
"Taiwan","Reference","elec_coal (IGCC CCS)","1990",0
"Taiwan","Reference","elec_coal (conv pul CCS)","1990",0
"Taiwan","Reference","elec_gas (CC CCS)","1990",0
"Taiwan","Reference","elec_refined liquids (CC CCS)","1990",0
"Taiwan","Reference","electricity","1990",0.62767204481
"Taiwan","Reference","industry","1990",3.83764
"Taiwan","Reference","municipal water","1990",2.49
"Taiwan","Reference","nuclearFuelGenII","1990",0.00676552
"Taiwan","Reference","nuclearFuelGenIII","1990",0
"Taiwan","Reference","regional coal","1990",0.005939629
"Taiwan","Reference","regional natural gas","1990",1.722389e-06
"Taiwan","Reference","regional oil","1990",0.16816313
"Global","Reference","Beef","1990",15.3693545623
"Global","Reference","Corn","1990",82.0978568531696
"Global","Reference","Dairy","1990",12.3206929879467
"Global","Reference","FiberCrop","1990",165.916179899811
"Global","Reference","FodderGrass","1990",0.43646449119665
"Global","Reference","FodderHerb","1990",54.6721427357024
"Global","Reference","MiscCrop","1990",175.852216200356
"Global","Reference","OilCrop","1990",56.0496744928866
"Global","Reference","OtherGrain","1990",58.9111006552966
"Global","Reference","PalmFruit","1990",0.0572454824
"Global","Reference","Pork","1990",15.28587024207
"Global","Reference","Poultry","1990",0.00116012984252
"Global","Reference","Rice","1990",330.868903464953
"Global","Reference","RootTuber","1990",16.1214698761179
"Global","Reference","SheepGoat","1990",3.9954269461373
"Global","Reference","SugarCrop","1990",129.767844064394
"Global","Reference","Wheat","1990",314.077601195058
"Global","Reference","biomass","1990",0
"Global","Reference","elec_biomass (IGCC CCS)","1990",0
