region,Name,sector,year,Difference,Rel_Dif,,
China,Policy,agriculture,1990,0,0,,
China,Policy,agriculture,2005,0,0,,
China,Policy,agriculture,2010,0,0,,
China,Policy,agriculture,2015,0,0,,
China,Policy,agriculture,2020,-0.000197374,-6.83E-05,,
China,Policy,agriculture,2025,-3.138324121,-1.063675377,,
China,Policy,agriculture,2030,-2.45779531,-0.83282626,,
China,Policy,agriculture,2035,0.869318161,0.297212761,,
China,Policy,agriculture,2040,1.908920486,0.660961206,,
China,Policy,agriculture,2045,1.77690878,0.625465749,,
China,Policy,agriculture,2050,0.540050934,0.194170962,,
China,Policy,agriculture,2055,-0.802947689,-0.293887242,,
China,Policy,agriculture,2060,-1.558801803,-0.58282532,,
China,Policy,agriculture,2065,-0.462256476,-0.176618897,,
China,Policy,agriculture,2070,-0.564385855,-0.220470092,,
China,Policy,agriculture,2075,-1.425626186,-0.568941673,,
China,Policy,agriculture,2080,-1.674610055,-0.683594624,,
China,Policy,agriculture,2085,-2.152158141,-0.90012272,,
China,Policy,agriculture,2090,-1.826946862,-0.783447055,,
China,Policy,agriculture,2095,-0.589708636,-0.259291499,,
China,Policy,agriculture,2100,-0.61792512,-0.278235986,,
China,Policy,ces,1990,0,NA,,
China,Policy,ces,2005,0,NA,,
China,Policy,ces,2010,0,NA,,
China,Policy,ces,2015,0,NA,,
China,Policy,ces,2020,0,NA,,
China,Policy,ces,2025,2.18E-06,Inf,,
China,Policy,ces,2030,1.35E-05,Inf,,
China,Policy,ces,2035,0.000807047,Inf,,
China,Policy,ces,2040,0.008520716,Inf,,
China,Policy,ces,2045,0.114193151,Inf,,
China,Policy,ces,2050,1.588855469,Inf,,
China,Policy,ces,2055,5.240577318,Inf,,
China,Policy,ces,2060,9.961555478,Inf,,
China,Policy,ces,2065,10.65584338,Inf,,
China,Policy,ces,2070,10.87119078,Inf,,
China,Policy,ces,2075,10.83831266,Inf,,
China,Policy,ces,2080,10.62587667,Inf,,
China,Policy,ces,2085,10.30739232,Inf,,
China,Policy,ces,2090,9.869077596,Inf,,
China,Policy,ces,2095,9.342715356,Inf,,
China,Policy,ces,2100,8.784131477,Inf,,
China,Policy,electricity,1990,0,0,,
China,Policy,electricity,2005,0,0,,
China,Policy,electricity,2010,0,0,,
China,Policy,electricity,2015,0,0,,
China,Policy,electricity,2020,6.08E-05,5.52E-05,,
China,Policy,electricity,2025,-0.032184561,-0.026996846,,
China,Policy,electricity,2030,-0.170186727,-0.136585141,,
China,Policy,electricity,2035,2.700956661,2.159855306,,
China,Policy,electricity,2040,-5.338990007,-4.39483189,,
China,Policy,electricity,2045,-4.259584012,-3.684401801,,
China,Policy,electricity,2050,7.880253068,7.412086803,,
China,Policy,electricity,2055,24.18113022,24.61776472,,
China,Policy,electricity,2060,40.22498462,44.09336915,,
China,Policy,electricity,2065,55.28214392,63.55271989,,
China,Policy,electricity,2070,58.67106806,68.74992699,,
China,Policy,electricity,2075,59.12225565,69.5323379,,
China,Policy,electricity,2080,59.11410713,71.41492271,,
China,Policy,electricity,2085,57.57226672,69.63483254,,
China,Policy,electricity,2090,55.2879734,66.06663699,,
China,Policy,electricity,2095,37.17339947,43.51298466,,
China,Policy,electricity,2100,21.35858738,24.40863734,,
China,Policy,industry,1990,0,0,,
China,Policy,industry,2005,0,0,,
China,Policy,industry,2010,0,0,,
China,Policy,industry,2015,0,0,,
China,Policy,industry,2020,0,0,,
China,Policy,industry,2025,0.058,0.042928302,,
China,Policy,industry,2030,0.087,0.061305166,,
China,Policy,industry,2035,-10.605,-7.370469472,,
China,Policy,industry,2040,-10.868,-7.588855527,,
China,Policy,industry,2045,-10.565,-7.49163263,,
China,Policy,industry,2050,-10.103,-7.334567498,,
China,Policy,industry,2055,-8.721,-6.517839793,,
China,Policy,industry,2060,-7.047,-5.439220741,,
China,Policy,industry,2065,-3.809,-3.044204503,,
China,Policy,industry,2070,-1.811,-1.501197808,,
China,Policy,industry,2075,-0.682,-0.587212206,,
China,Policy,industry,2080,-0.137,-0.122731263,,
China,Policy,industry,2085,0.179,0.167122597,,
