region,scenario,Scen_Label,year,tot_withdrawal,ref,rel_dif_per
China,Policy,Policy,1990,297.7024259,297.7024259,0
China,Policy,Policy,2005,497.1365441,497.1365441,0
China,Policy,Policy,2010,573.040771,573.040771,0
China,Policy,Policy,2015,621.4047869,621.4047869,0
China,Policy,Policy,2020,654.7939534,654.7941988,-3.74825E-05
China,Policy,Policy,2025,690.256374,693.570029,-0.477767898
China,Policy,Policy,2030,711.0253984,713.6777054,-0.371639337
China,Policy,Policy,2035,710.6569633,717.3975312,-0.939586167
China,Policy,Policy,2040,697.2787138,710.9225476,-1.919173035
China,Policy,Policy,2045,685.5440257,697.7002031,-1.742321034
China,Policy,Policy,2050,677.4072828,676.7675297,0.094530707
China,Policy,Policy,2055,676.5114401,656.0480307,3.11919378
China,Policy,Policy,2060,676.7639904,634.3930565,6.67897189
China,Policy,Policy,2065,677.6871788,614.9851315,10.19570133
China,Policy,Policy,2070,666.1215751,597.9346004,11.40375129
China,Policy,Policy,2075,651.0471504,582.281306,11.80972902
China,Policy,Policy,2080,633.2455723,564.4062426,12.19676971
China,Policy,Policy,2085,615.1505839,548.3882738,12.17427748
China,Policy,Policy,2090,598.532875,533.85505,12.11524083
China,Policy,Policy,2095,567.9054476,520.8359849,9.037290831
China,Policy,Policy,2100,539.5690381,509.3786652,5.926901731
China,Policy_CI_GFDL,Policy_CI,1990,297.7024259,297.7024259,0
China,Policy_CI_GFDL,Policy_CI,2005,497.1365441,497.1365441,0
China,Policy_CI_GFDL,Policy_CI,2010,573.040771,573.040771,0
China,Policy_CI_GFDL,Policy_CI,2015,621.4047869,621.4047869,0
China,Policy_CI_GFDL,Policy_CI,2020,660.284298,654.7941988,0.838446522
China,Policy_CI_GFDL,Policy_CI,2025,697.8513745,693.570029,0.617291029
China,Policy_CI_GFDL,Policy_CI,2030,716.3752197,713.6777054,0.377973725
China,Policy_CI_GFDL,Policy_CI,2035,717.3164538,717.3975312,-0.011301597
China,Policy_CI_GFDL,Policy_CI,2040,708.6402742,710.9225476,-0.32102982
China,Policy_CI_GFDL,Policy_CI,2045,699.5550309,697.7002031,0.265848822
China,Policy_CI_GFDL,Policy_CI,2050,696.5723833,676.7675297,2.926389449
China,Policy_CI_GFDL,Policy_CI,2055,695.5319972,656.0480307,6.018456667
China,Policy_CI_GFDL,Policy_CI,2060,696.4724897,634.3930565,9.785641976
China,Policy_CI_GFDL,Policy_CI,2065,699.5617443,614.9851315,13.75262725
China,Policy_CI_GFDL,Policy_CI,2070,686.5927147,597.9346004,14.82739321
China,Policy_CI_GFDL,Policy_CI,2075,668.7816532,582.281306,14.85542233
China,Policy_CI_GFDL,Policy_CI,2080,647.6244052,564.4062426,14.74437317
China,Policy_CI_GFDL,Policy_CI,2085,628.3680709,548.3882738,14.58451994
China,Policy_CI_GFDL,Policy_CI,2090,610.5935351,533.85505,14.37440464
China,Policy_CI_GFDL,Policy_CI,2095,577.2265836,520.8359849,10.82693983
China,Policy_CI_GFDL,Policy_CI,2100,547.7463843,509.3786652,7.532258768
China,Policy_CI_HadGEM,Policy_CI,1990,297.7024259,297.7024259,0
China,Policy_CI_HadGEM,Policy_CI,2005,497.1365441,497.1365441,0
China,Policy_CI_HadGEM,Policy_CI,2010,573.040771,573.040771,0
China,Policy_CI_HadGEM,Policy_CI,2015,621.4047869,621.4047869,0
China,Policy_CI_HadGEM,Policy_CI,2020,656.6393232,654.7941988,0.281786919
China,Policy_CI_HadGEM,Policy_CI,2025,688.9395315,693.570029,-0.667632298
China,Policy_CI_HadGEM,Policy_CI,2030,710.5757225,713.6777054,-0.434647585
China,Policy_CI_HadGEM,Policy_CI,2035,709.0862853,717.3975312,-1.158527257
